username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
MarysiaT,1246224461227048960,2020-04-03 23:53:59+00:00,0,#Easter #coronavirus #podcast,,0,0,"Family planning, create and produce an creative project involving the whole family as school's out during #Easter #coronavirus #podcast episode of Love Your Creativity AND Make Money",,,,,Easter,0.8957,0.0,0.6609999999999999,0.339
jenstirrup,1246223690607575040,2020-04-03 23:50:56+00:00,2,#DataViz #CoronaVirus #COVID19 #DataAnalytics #BigData #HealthTech,@MikeQuindazzi @JohnsHopkins @MikeQuindazzi,0,0,"Tech Leaders news: @MikeQuindazzi: '82-day #DataViz chart illustrates the exponential spread of the #CoronaVirus from Asia to Europe &gt;&gt;&gt; @JohnsHopkins via @MikeQuindazzi &gt;&gt;&gt; #COVID19 #DataAnalytics #BigData #HealthTech … , see more http://tweetedtimes.com/v/1231?s=tnp",,,,HealthTech,Tech Leaders # DataViz CoronaVirus Asia Europe gt;&gt;&gt @JohnsHopkins @MikeQuindazzi gt;&gt;&gt COVID19 DataAnalytics BigData # HealthTech,0.0,0.0,1.0,0.0
LuaLuaEnglish,1246223687239467015,2020-04-03 23:50:55+00:00,0,#COVID19 #coronavirus #Bahrain #Manama,,0,0,The prisoners said the cleric “sounded alarm” over #COVID19 spreading in the detention facility. #coronavirus #Bahrain #Manama,,,,,# Bahrain Manama,-0.7003,0.279,0.721,0.0
h24news_uk,1246222959964041217,2020-04-03 23:48:02+00:00,0,#NationalNews #Coronavirus,,0,0,"Ismail Mohamed Abdulwahab, 13, died alone in hospital in the early hours of Monday #NationalNews #Coronavirus ",,,,,Ismail Mohamed Abdulwahab Monday # NationalNews Coronavirus,-0.6808,0.28600000000000003,0.7140000000000001,0.0
HelenTBracken,1246222933732790273,2020-04-03 23:47:55+00:00,4,#coronavirus,@UKChange,1,0,Let’s do everything we can to prevent a repeat of #coronavirus Boris Johnson: Ban live animal markets worldwide - Sign the Petition! http://chng.it/yFsPT4YC via @UKChange,johnson,,,,Boris Johnson Ban Petition,-0.5848,0.139,0.8220000000000001,0.039
roypp22,1246222708863569920,2020-04-03 23:47:02+00:00,0,#Karma #dharma #coronavirus,@basumanasbasu @Bhagwatgitaorg,0,0,"@basumanasbasu Dhanya Ho &amp; HUMBLED Ji! Follow ONLY @Bhagwatgitaorg BE A #Karma #dharma FEARLESS YODHA =""YUDHA KAR ""PARTH"" =QED &amp; REST ONLY ""HARI ICCHA ""INFER EG NO SUPER POWERS #coronavirus PROVED =ALL SHUT UP HELPLESSLY JAI SRI KRISHNA ! PASS ON MESSAGE=WAKE ""MAYAVIS",,,,QED &amp,Dhanya Ho amp HUMBLED Ji @Bhagwatgitaorg # Karma FEARLESS YODHA YUDHA KAR QED amp REST HARI coronavirus PROVED HELPLESSLY JAI SRI KRISHNA ON MESSAGE WAKE MAYAVIS,-0.6904,0.18,0.7509999999999999,0.07
sianmexsom,1246222659349884928,2020-04-03 23:46:50+00:00,0,#coronavirus,@NationalTheatre,0,0,"Put the whole #coronavirus crisis to one side, and watch the @NationalTheatre offerings instead. If nothing else, you’ll feel better. “Australia? Lager, barbecues and opera”.",,,,,@NationalTheatre Australia Lager,-0.29600000000000004,0.13699999999999998,0.767,0.097
zulfi_azad,1246222275864600577,2020-04-03 23:45:18+00:00,0,#COVID19 #covid19UK #coronavirus,,0,0,Anybody know what this is? #COVID19 #covid19UK #coronavirus ,,,,,coronavirus,0.0,0.0,1.0,0.0
Diplomacy140,1246222067722326017,2020-04-03 23:44:29+00:00,0,#WATCH #coronavirus #Diplomacy140,@MattHancock @MattHancock @CNOEngland,0,0,"“This advice is not a request; it is an instruction; Stay Home”: @MattHancock #WATCH #coronavirus press conference (3 April 2020) @MattHancock Health Secretary Prof Jonathan Van-Tam, Deputy Chief Medical Officer Ruth May @CNOEngland #Diplomacy140",,,Prof Jonathan Van-Tam,,Home WATCH coronavirus April Health Secretary Prof Jonathan Van Tam Deputy Chief Medical Officer Ruth,0.0,0.0,1.0,0.0
PaulRitchiepr,1246221953586925569,2020-04-03 23:44:02+00:00,0,#coronavirus #CoronavirusPandemic,@_HadleyGamble @dan_murphy @themmagraham,0,0,Uh oh #coronavirus #CoronavirusPandemic @_HadleyGamble @dan_murphy @themmagraham,,,,,# CoronavirusPandemic,0.0,0.0,1.0,0.0
LuaLuaEnglish,1246221806459068434,2020-04-03 23:43:26+00:00,0,#Bahrain #coronavirus #COVID19,,0,0,"Families of al-Dair detainees support call from #Bahrain’s highest religious authority Sheikh Isa Qassim to release political prisoners, urge all “reasonable people” in the kingdom to consider the cleric’s advice. #coronavirus #COVID19",,,coronavirus,,al Dair Bahrain Sheikh Isa Qassim,-0.0772,0.091,0.799,0.11
BlackRebelKid,1246221651559305217,2020-04-03 23:42:50+00:00,0,#coronavirus,@UKChange,0,0,UK Govt: Provide PPE to ALL frontline NHS to keep them safe #coronavirus - Sign the Petition! http://chng.it/rX5kwDDZ via @UKChange,,nhs,,,UK Govt NHS,0.4926,0.0,0.856,0.14400000000000002
CrazyBengieFB_,1246221375867674624,2020-04-03 23:41:44+00:00,0,#CoronaVirus #chinaVirus #wuhanVirus #CoViD19 #nwo #deepstate #loveofmoney #nwo #God #JAHisGreatest,@yashar @jack @CrazyBengieFB_,0,0,#CoronaVirus #chinaVirus #wuhanVirus #CoViD19 #nwo who #deepstate @yashar src : @jack #loveofmoney #nwo #God #JAHisGreatest @CrazyBengieFB_ https://twitter.com/CrazyBengieFB_ https://twitter.com/yashar/status/1246170496669847553,,,,CoronaVirus,CoronaVirus # nwo @yashar src loveofmoney nwo # God JAHisGreatest @CrazyBengieFB _ https://twitter.com/CrazyBengieFB _,0.2732,0.0,0.89,0.11
GmanTheCanMan,1246221334432137216,2020-04-03 23:41:34+00:00,0,#coronavirus,,0,0,The temperature is 17 and not 32 this Sunday folks so calm down.#coronavirus,,,,,Sunday down.#coronavirus,0.4572,0.0,0.8,0.2
samehelbarqy,1246221301972262912,2020-04-03 23:41:26+00:00,0,#CoronaVirusUpdate #coronavirus #covid19UK #CoronavirusLockdownUK #COVID19 #FlattenTheCurve #CoronavirusUSA #COVID19Pandemic #coronavirusuk #COVID,,0,0,Navy hospital ship will no longer require a negative Covid-19 test for patients who board #CoronaVirusUpdate #coronavirus #covid19UK #CoronavirusLockdownUK #COVID19 #FlattenTheCurve #CoronavirusUSA #COVID19Pandemic #coronavirusuk #COVIDー19,,,,,Navy Covid-19 COVID19Pandemic COVIDー19,-0.7096,0.204,0.7959999999999999,0.0
roypp22,1246221216286900230,2020-04-03 23:41:06+00:00,0,#Karma #dharma #coronavirus,@kiranmgosavi @Bhagwatgitaorg,0,0,"@kiranmgosavi Dhanya Ho Kiran Ji am Humbled ! Follow ONLY @Bhagwatgitaorg be a #Karma #dharma FEARLESS YODHA =YUDHA KAR ""PARTH"" =QED &amp; REST ONLY ""HARI ICCHA ""INFER EG NO SUPER POWERS #coronavirus PROVED =ALL SHUT UP HELPLESSLY ? JAI SRI KRISHNA ! PASS ON MESSAGE=WAKE ""MAYAVIS ",,,JAI SRI KRISHNA,,Dhanya Ho Kiran Ji am Humbled @Bhagwatgitaorg # Karma FEARLESS YODHA YUDHA KAR QED amp REST HARI coronavirus PROVED HELPLESSLY JAI SRI KRISHNA ON MESSAGE WAKE MAYAVIS,-0.6904,0.17,0.764,0.066
Amelu_Arts,1246221184485789696,2020-04-03 23:40:58+00:00,0,#choice #negativity #badluck #grow #covid19 #coronavirus #positivevibes #positivethinking #wewillsurvive #wewillwin #wewillgetthroughthis,,0,0,You always have a #choice . You can see this apparent #negativity as just #badluck or you can use it as an opportunity to #grow . #covid19 #coronavirus #positivevibes #positivethinking #wewillsurvive #wewillwin #wewillgetthroughthis,,,,,#,-0.128,0.08900000000000001,0.836,0.075
mikewarburton,1246220673988661248,2020-04-03 23:38:56+00:00,3,#film #cinema #movies #jacklemmon #waltermatthau #neilsimon #comedy #coronavirus,,1,0,One of a huge series of tweets sharing clips of Movies you might enjoy whilst we’re all self-isolating. THE ODD COUPLE (1968) #film #cinema #movies #jacklemmon #waltermatthau #neilsimon #comedy #coronavirus ,,,,,COUPLE # jacklemmon # waltermatthau coronavirus,0.7761,0.078,0.644,0.278
SindenTweets,1246220460817297408,2020-04-03 23:38:06+00:00,0,#coronavirus,,0,0,The world's turned upside down and all the stupid people are in charge. #coronavirus,,,,,coronavirus,-0.5267,0.207,0.7929999999999999,0.0
ds37alwaysred,1246220393444257792,2020-04-03 23:37:50+00:00,0,#day8oflockdown #COVID19Pandemic #coronavirus,,0,0,"My wifes like this, her knuckles are red raw cos she washes her hands so much #day8oflockdown #COVID19Pandemic #coronavirus ",,,,,COVID19Pandemic,0.3612,0.0,0.878,0.122
stopcorona2020,1246219860599877633,2020-04-03 23:35:43+00:00,0,#sick_at_home #coronavirus #UK #BBC #died_at_home #carehomes,@WHO,0,1,"2/2 tomorrow if he wanted to.The worst horror's yet to come.He's ignored @WHO guidance re the #sick_at_home. We're brewing clusters of #coronavirus behind closed doors all over #UK, and as #BBC itself now admits, none of those who #died_at_home or in #carehomes are in the stats.",,,,BBC,sick_at_home coronavirus UK # BBC,-0.6369,0.124,0.833,0.043
El5venor,1246219383061598209,2020-04-03 23:33:49+00:00,0,#COVID19 #coronavirus #NHSheroes #NHSThankYou #funny #musicmedicine #StayAtHome #tigerking #tigerking #keyworkerHeroes #GiveSmilesNotViruses #comedy,@BryanLaceyMMA,0,0,Thanks for the lolz @BryanLaceyMMA #COVID19 #coronavirus #NHSheroes #NHSThankYou #funny #musicmedicine #StayAtHome #tigerking #keyworkerHeroes #GiveSmilesNotViruses #comedy,,,,,@BryanLaceyMMA COVID19 NHSheroes StayAtHome GiveSmilesNotViruses,0.9001,0.0,0.5,0.5
yiquai,1246219370436665351,2020-04-03 23:33:46+00:00,0,#Corporations #Coronavirus #Pandemic,@Jay_D007 @DCBabylon1,0,0,#Corporations Are Salivating Over the #Coronavirus #Pandemic ⁦@Jay_D007⁩ ⁦@DCBabylon1⁩,,,,,Coronavirus Pandemic ⁦@Jay_D007⁩,0.0,0.0,1.0,0.0
isaacrobbins_,1246218991787487232,2020-04-03 23:32:15+00:00,0,#bearmarket #coronavirus #nyse #stocks #investment #ForexMarket,,0,0,Just because some major indices rallied many points it never meant the #bearmarket was over this is a friendly reminder for every investor to keep price records &amp; exchange rates. #coronavirus &amp;other financial crisis seeds are coming forth. #nyse #stocks #investment #ForexMarket,,,ForexMarket,,amp # coronavirus amp;other nyse # ForexMarket,-0.2263,0.087,0.846,0.068
NoahsArkHospice,1246218624022478855,2020-04-03 23:30:48+00:00,3,#Coronavirus,,3,0,Alesha is extremely vulnerable to #Coronavirus. Children like Alesha - and their families - need our support more than ever. Please help us to care for seriously unwell children - https://noah.do/34d1DBk ,,,Alesha,,Alesha # Coronavirus Alesha,0.868,0.094,0.578,0.329
LondonComment,1246218378710261761,2020-04-03 23:29:49+00:00,1,#Coronavirus,,0,0,Surely we can simply say that people are dying. Period! This is no time for casual ageism when we have already lost a 13-year old boy in UK to #Coronavirus.,,,Coronavirus,,UK # Coronavirus,0.126,0.127,0.733,0.141
BillEllson,1246218277325545474,2020-04-03 23:29:25+00:00,1,#COVID19 #COVID19Pandemic #COVID2019 #Covid19usa #coronavirus #coronaviruscalifornia,,0,0,California - 27 people at Bay Area nursing home positive for coronavirus: 'We are very very concerned' https://www.latimes.com/california/story/2020-04-03/27-people-at-bay-area-nursing-home-positive-for-coronavirus-we-are-very-very-concerned #COVID19 #COVID19Pandemic #COVID2019 #Covid19usa #coronavirus #coronaviruscalifornia,,,,,California Bay Area coronavirus,0.5574,0.0,0.865,0.135
aliya_Hshah,1246217962366873600,2020-04-03 23:28:10+00:00,0,#Tracking #coronavirus #Map #data #COVID19 #pandemic #health #virus #Doctors #Nursing #hospital #epidemiology #worldwide #DataAnalytics #disease,,0,0,"#Tracking #coronavirus: #Map, #data &amp; timeline - https://bnonews.com/index.php/2020/04/the-latest-coronavirus-cases/ #COVID19 #pandemic #health #virus #Doctors #Nursing #hospital #epidemiology #worldwide #DataAnalytics #disease",,,,,# Tracking # Map DataAnalytics,0.0,0.0,1.0,0.0
mikewarburton,1246217924723068930,2020-04-03 23:28:01+00:00,1,#film #cinema #movies #eddiemurphy #danaykroyd #coronavirus,,0,0,One of a huge series of tweets sharing clips of Movies you might enjoy whilst we’re all self-isolating. TRADING PLACES (1983) #film #cinema #movies #eddiemurphy #danaykroyd #coronavirus ,,,,,# danaykroyd # coronavirus,0.8074,0.0,0.743,0.257
Emilio_SanPedro,1246217717851533313,2020-04-03 23:27:12+00:00,1,#CDC #coronavirus,,0,0,“I just don’t want to wear one myself ...I’m Feelin’ Good!” President Trump explaining why he won’t be wearing a face mask as he announced the #CDC was recommending they be worn as deterrent from #coronavirus. It’s exactly people who feel no symptoms that CDC worries about.,,,,CDC,Feelin President Trump CDC CDC,-0.7345,0.145,0.83,0.025
LuaLuaEnglish,1246217401705922560,2020-04-03 23:25:56+00:00,0,#COVID19 #Bahrain #Manama #coronavirus,,0,1,Families of Diraz detainees demand Bahraini authorities release prisoners “to avoid tragedy” amid #COVID19 pandemic. #Bahrain #Manama #coronavirus ,,,Bahrain,,Diraz Bahrain # Manama coronavirus,-0.7184,0.318,0.682,0.0
MiddleEastMnt,1246217192573673479,2020-04-03 23:25:06+00:00,6,#Coronavirus,,4,0,#Coronavirus: PA extends state of emergency amid fears of rising cases ,,,Coronavirus,,Coronavirus PA,-0.5994,0.362,0.537,0.101
batoutahell111,1246217098860343296,2020-04-03 23:24:44+00:00,0,#COVID19 #coronavirus,@RuthieeL @EamonnHolmes @thismorning @NHSEngland @Schofe @hollywills @ITV,0,0,I think @RuthieeL should let @EamonnHolmes cut your hair live on @thismorning to raise money for @NHSEngland amid the #COVID19 #coronavirus @Schofe @hollywills come on Ruth I dare you @ITV,,,Ruth,,@EamonnHolmes COVID19 coronavirus @Schofe Ruth,-0.2732,0.068,0.932,0.0
