username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
PCSoblahdeehell,1265069900369985537,2020-05-25 23:59:02+00:00,0,,,0,1,"Yet more career compliance wrapped in noble sentiment from you, Matt? After all you've fronted in this shambles of a campaign vs COVID - the v worst Govt ""effort"" in Europe. Cummings' show was a patently shabby confabulation: &amp; you know it. Such compliance demeans patriotism. ",hancock,,,,Matt COVID Govt Europe amp,-0.2732,0.08,0.861,0.059
guardianscience,1265069895823142913,2020-05-25 23:59:01+00:00,31,,,17,2,Dutch PM Mark Rutte did not visit dying mother due to Covid-19 restrictions ,,,,,PM Mark Rutte Covid-19,0.0,0.0,1.0,0.0
guardianworld,1265069895588274177,2020-05-25 23:59:01+00:00,9,,,9,1,Dutch PM Mark Rutte did not visit dying mother due to Covid-19 restrictions https://www.theguardian.com/world/2020/may/26/dutch-pm-mark-rutte-did-not-visit-dying-mother-due-to-covid-19-restrictions?CMP=twt_a-world_b-gdnworld,,,,,PM Mark Rutte Covid-19,0.0,0.0,1.0,0.0
andrewwhitty,1265069894850281474,2020-05-25 23:59:01+00:00,0,,,0,0,His wife had symptoms of sickness but not covid symptoms. Cummings had no symptoms of any kind. Yet they drove to Durham on the fear that both of them would be struck down immediately with covid? Pull my other one.,,,Durham,,Durham covid,-0.6124,0.191,0.717,0.092
HYBRID_TS,1265069701065039873,2020-05-25 23:58:15+00:00,0,,@HYBRID_TS,0,0,Belgian rail tests sensors to keep workers apart during COVID-19 http://twib.in/l/oXxz8doXorpz via @hybrid_ts,,,,@hybrid_ts,@hybrid_ts,0.0,0.0,1.0,0.0
PCSoblahdeehell,1265069671251955714,2020-05-25 23:58:08+00:00,1,,,0,0,"Yet more career compliance wrapped in noble sentiment from you, Matt? After all you've fronted in this shambles of a campaign vs COVID: the v worst Govt ""effort"" in Europe? Cummings' show was a patently shabby confabulation: &amp; you know it. Your compliance demeans patriotism.",hancock,,,Cummings,Matt COVID Govt Europe amp,-0.3527,0.088,0.852,0.059
Allonsy_Ten,1265069544969773057,2020-05-25 23:57:38+00:00,1,,,0,1,Great when the so called 'next door neighbour' is kicking off and telling the 6 police men that she hopes they all catch coronavirus and they are also a disgrace to the uniform.....,,,,,coronavirus,0.5719,0.08,0.748,0.172
CraigA3,1265069502351491072,2020-05-25 23:57:27+00:00,0,,,0,0,So all 260k+ covid sufferers were actually allowed and should have been encouraged to travel?,,,,,,-0.2263,0.18,0.688,0.132
its_Alot,1265069379567398912,2020-05-25 23:56:58+00:00,3,#SocialDistanacing #DominicCummings #DominicCummingsmustgo #CumGate #coronavirus #COVID__19,,3,2,These lot getting pictures for a headline complaining about him breaking rules and potentially spreading the virus #SocialDistanacing #DominicCummings #DominicCummingsmustgo #CumGate #coronavirus #COVID__19 ,,,,,# SocialDistanacing # DominicCummings # DominicCummingsmustgo # CumGate,-0.2023,0.076,0.924,0.0
BeautySocialCUK,1265069157948809217,2020-05-25 23:56:05+00:00,0,,,0,0,"I love the way in which the people of UK are getting mad about the blind driver and his wife, both with Covid, who traveled for 260 miles with a child to a retreat to self isolate during the lock down... You should see what the politicians do behind closed doors......",,,,,UK Covid,-0.1779,0.129,0.771,0.101
