username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
thoigen,1257096973594832910,2020-05-03 23:57:28+00:00,2,#coronavirus,,0,0,"The luxurious car market is still expected to increase this year, despite the automobile industry facing challenges due to the #coronavirus pandemic, causing automakers to suspend or reduce production. Truong Hai group is now the official distributor of BMW in Vietnam. ",,,,,coronavirus pandemic Truong Hai BMW Vietnam,0.0772,0.052000000000000005,0.866,0.08199999999999999
AbidGangatPR,1257095534311018496,2020-05-03 23:51:45+00:00,0,#UK #coronavirus,,0,0,"""#UK government deployed more than 122,000 #coronavirus tests on the last day of April"" ",,government,,,UK April,0.0,0.0,1.0,0.0
edhabershon,1257095155284393987,2020-05-03 23:50:15+00:00,0,#coronavirus,,0,0,"President Trump on Boris Johnson contracting coronavirus: 'He thought it was over, it was vicious, but he made it. #coronavirus",johnson,,Boris Johnson,,President Trump Boris Johnson coronavirus coronavirus,-0.1901,0.084,0.9159999999999999,0.0
shellyorange,1257094658385117189,2020-05-03 23:48:16+00:00,1,#lockdown #Coronavirus #lifestyle #Australia #Spain #Jordan #Germany #Italy #facemasks #schools #parks #travel,@thomsonreuters @wef,0,0,This is how the world is coming out of #lockdown #Coronavirus #lifestyle #Australia #Spain #Jordan #Germany #Italy ⁦@thomsonreuters⁩ ⁦@wef⁩ #facemasks #schools #parks cafes #travel LETS DO EVERYTHING POSSIBLE RESPONSIBLY2 PREVENT 2nd OUTBREAK https://www.instagram.com/tv/B_u0zIbIhm4/?igshid=198hv3pjltvwz,,,,OUTBREAK,Coronavirus Australia Spain # Jordan # Germany Italy LETS https://www.instagram.com/tv/B_u0zIbIhm4/?igshid=198hv3pjltvwz,0.2103,0.0,0.946,0.054000000000000006
CuntTheRedeemer,1257094139981770753,2020-05-03 23:46:13+00:00,0,#coronavirus #COVID,@BillKristol @billmaher @joerogan @EricRWeinstein @NAChristakis @SamHarrisOrg @michaeldweiss @nfergus @DouglasKMurray,0,0,You predicted last summer that Trump would resign in disgrace. Do you still think this in light of #coronavirus? Thanks keep up the good work. #COVIDー19 cc: @BillKristol @billmaher @joerogan @EricRWeinstein @NAChristakis @SamHarrisOrg @michaeldweiss @nfergus @DouglasKMurray,,,@nfergus @DouglasKMurray,,Trump COVIDー19 @BillKristol @SamHarrisOrg @DouglasKMurray,0.0516,0.129,0.737,0.134
pdeepa,1257094128212545536,2020-05-03 23:46:10+00:00,0,#shame #Coronavirus,,0,1,Trending in New Zealand #shame #Coronavirus UK’s virus response : 'Biggest failure in a generation' ,,,,,New Zealand # Coronavirus UK,-0.7506,0.33,0.67,0.0
edhabershon,1257093210612137985,2020-05-03 23:42:31+00:00,1,#coronavirus,,0,1,President Trump says the US will have a coronavirus vaccine by the end of the year #coronavirus,,,,,President Trump US coronavirus coronavirus,0.0,0.0,1.0,0.0
ARSENALFANUK,1257092768599547906,2020-05-03 23:40:46+00:00,0,#china #coronavirus,,0,0,Time for the west to part ways with #china. #coronavirus,,,,,china coronavirus,0.0,0.0,1.0,0.0
worldmapper,1257091348647346180,2020-05-03 23:35:07+00:00,0,#maps #cartograms #COVID #coronavirus #africa,,3,0,Covid-19: A Spotlight on Africa http://wrld.at/covidafrica #maps #cartograms #COVIDー19 #coronavirus #africa,,,,,Africa http://wrld.at/covidafrica COVIDー19 coronavirus # africa,0.0,0.0,1.0,0.0
dagiye,1257088716092342273,2020-05-03 23:24:40+00:00,1,#coronavirus,@realDonaldTrump,1,0,"Well, he’s wasting his time. @realDonaldTrump has single handedly changed most Americans into a morally corrupted, braindead d*** heads. Most Americans hv no empathy, kindness or the ability to think clearly. America has lost its soul n we should thank Trump for it! #coronavirus ",,,Trump,,@realDonaldTrump Americans braindead Americans America n Trump coronavirus,-0.162,0.183,0.645,0.172
suhail1mirza,1257087583047335940,2020-05-03 23:20:10+00:00,1,#day38oflockdown #coronavirus #leadership,@HarvardHBS,1,0,Leadership fulsome in Wisdom and pragmatism @HarvardHBS #day38oflockdown #coronavirus #leadership,,,,,# #,0.5267,0.0,0.726,0.27399999999999997
Mahfuzul2002,1257087570120527873,2020-05-03 23:20:06+00:00,0,#JustGiving #donate #fundraise #COVID #coronavirus,@JustGiving,0,0,My friend Orphans Shelter Foundation is fundraising for Orphans Shelter Foundation. Check out their @JustGiving page and please donate if you can. Thank you! #JustGiving #donate #fundraise #COVIDー19 #coronavirus ,,,,,Orphans Shelter Foundation Orphans Shelter Foundation JustGiving COVIDー19,0.807,0.0,0.758,0.242
harraqat,1257087404013498368,2020-05-03 23:19:27+00:00,1,#PiersMorgan #Coronavirus #LOCKDOWN2020 #Corona #COVID #Covid19UK,,1,0,Piers Morgan isn’t even trending. You can see how many fans he’s got soz mate hope you get well soon and you can go back to your disgusting ways. #PiersMorgan #Coronavirus #LOCKDOWN2020 #Corona #COVIDー19 #Covid19UK,,,PiersMorgan,,Piers Morgan soz # PiersMorgan # Coronavirus,0.1531,0.084,0.792,0.124
edhabershon,1257087347063173125,2020-05-03 23:19:13+00:00,2,#coronavirus,@realDonaldTrump,1,2,Quite the setting for the Fox News virtual town hall with @realDonaldTrump #coronavirus ,,,,Fox News,Fox News coronavirus,0.0,0.0,1.0,0.0
gnorthfield,1257086654805934081,2020-05-03 23:16:28+00:00,1,#coronavirus,,1,0,"Was offered a test, none available if you can’t drive. So I can’t get one. Cheers UK government. #coronavirus https://www.instagram.com/p/B_vmr9Lhi2K/?igshid=lgm8fcjvdegu",,government,,,UK coronavirus,0.4767,0.0,0.86,0.14
dancrawford85,1257086154010243078,2020-05-03 23:14:29+00:00,0,#Covid19 #coronavirus,,1,0,Non-NHS healthcare staff had less access to #Covid19 tests – study https://www.theguardian.com/society/2020/may/04/non-nhs-healthcare-staff-had-less-access-to-covid-19-tests-study?CMP=Share_AndroidApp_Tweet #coronavirus,,nhs,,,Non - NHS # Covid19 https://www.theguardian.com/society/2020/may/04/non-nhs-healthcare-staff-had-less-access-to-covid-19-tests-study?CMP=Share_AndroidApp_Tweet coronavirus,0.0,0.0,1.0,0.0
karimraffa,1257086046547804161,2020-05-03 23:14:03+00:00,0,#coronavirus,@business @QuickTake,0,0,"South Africa reversed a decision to ease a ban on cigarettes during the #coronavirus, with some smokers turning to the black market for their fix. Read more via @business: https://trib.al/l9W4RYa @QuickTake",,,,,South Africa https://trib.al/l9W4RYa @QuickTake,-0.2732,0.10300000000000001,0.826,0.071
marq_smith,1257085908278534149,2020-05-03 23:13:30+00:00,1,#AmitRai #COVID19 #biopolitics #governmentality #Foucault #coronavirus #visualculture #HarunFarocki,@sbmqmul @QMUL,1,0,"In ‘A Biopolitics of the Future’ by #AmitRai @sbmqmul @qmul, Rai exposes the race, caste, gender, and class inequalities and injustices of #COVID19, as they are generated by the #biopolitics of #governmentality. #Foucault #coronavirus #visualculture #HarunFarocki",,,,HarunFarocki,Biopolitics Future AmitRai Rai caste Foucault HarunFarocki,-0.128,0.040999999999999995,0.9590000000000001,0.0
