username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
SFAactive,1262533391179800579,2020-05-18 23:59:51+00:00,2,,,0,0,Just as I thought I have finished the first draft of the easy read - guess what I missed out for NHSE to publish their reports about deaths of PWLD with Covid19 in easy read!!!!!,,,,NHSE,NHSE Covid19,0.6973,0.053,0.777,0.169
TheEconomist,1262533369772064768,2020-05-18 23:59:46+00:00,88,,,41,6,Covid-19’s blow to world trade is a heavy one ,,,,,Covid-19,0.0,0.0,1.0,0.0
InsOutGuy,1262533342169313282,2020-05-18 23:59:40+00:00,0,,,0,1,An experimental drug that was so dangerous it was patented in the 1950s and has been used safely since for malaria and is being used in France to treat Covid-19. Oh?,,,,,France Covid-19,0.2284,0.105,0.739,0.156
BexGreenParty,1262533313723535361,2020-05-18 23:59:33+00:00,0,,,0,0,"I don't know where to start with this headline... More than 1,800 private planes landed in UK during Covid-19 lockdown ",,,,,UK Covid-19,0.0,0.0,1.0,0.0
internetsdairy,1262533173939970051,2020-05-18 23:59:00+00:00,0,,,0,0,Weird thing is I think the slogan predates covid and they just kept it.,,,,,covid,-0.1779,0.116,0.884,0.0
malcom_is_here,1262532970369384450,2020-05-18 23:58:11+00:00,0,,,0,0,Postponed until after Coronavirus. X,,,,Coronavirus,Coronavirus,-0.2023,0.31,0.69,0.0
calvincasino,1262532961267785733,2020-05-18 23:58:09+00:00,1,,,1,0,"What a filpping moron. Donald Trump taking the malaria drug as if can fight off Covid 19. Gosh!! America, don’t keep your current &amp; foolish occupant (Trump) to be in the White House for another 4 years. Vote him out by all means possible in November. ",,,,,Donald Trump Covid America Trump White House November,-0.8168,0.165,0.835,0.0
standardnews,1262532952325529601,2020-05-18 23:58:07+00:00,5,,,6,0,What is the Kawasaki disease linked to coronavirus affecting children? ,,,,,Kawasaki coronavirus,0.0,0.0,1.0,0.0
visheem,1262532837053431811,2020-05-18 23:57:39+00:00,0,,,0,0,Venture Capital Roundtable: The Funding Market During Covid-19 | Comparably ,,,,,Venture Capital Roundtable Funding Covid-19 | Comparably,0.0,0.0,1.0,0.0
paulstpancras,1262532804900007936,2020-05-18 23:57:32+00:00,0,,,0,0,London care homes report possible fresh Covid-19 outbreaks • https://www.theguardian.com/world/2020/may/18/london-care-homes-report-possible-fresh-covid-19-outbreaks?CMP=share_btn_tw •,,,,,London,0.6705,0.0,0.621,0.379
malcom_is_here,1262532774587760641,2020-05-18 23:57:24+00:00,0,,,0,0,Postponed until after Coronavirus. X,,,,Coronavirus,Coronavirus,-0.2023,0.31,0.69,0.0
mercurymagicia1,1262532774008938503,2020-05-18 23:57:24+00:00,0,#COVID19 #Immunity,@LBC,0,0,I’ve kissed over 100 people in the last two days and can say I’m immune now @LBC #COVID19 hadit long time ago... #Immunity,,,,,,0.5859,0.0,0.814,0.186
tomasdltg,1262532760717197321,2020-05-18 23:57:21+00:00,2,#NHS #Surveillance #SurveillanceCapitalism #COVID19 #BigData #NHS,@MElmaazi @TheInterregnum_,1,0,"#NHS Data is At Risk From For-Profit #Surveillance and Data Analysis Firms, Says medConfidential by @MElmaazi #SurveillanceCapitalism #COVID19 #BigData https://theinterregnum.net/nhs-data-is-at-risk-from-for-profit-surveillance-and-data-analysis-firms-says-medconfidential/ #NHS @TheInterregnum_",,nhs,,,NHS Data Profit # Surveillance Data Analysis Firms # SurveillanceCapitalism BigData https://theinterregnum.net/nhs-data-is-at-risk-from-for-profit-surveillance-and-data-analysis-firms-says-medconfidential/ NHS @TheInterregnum _,-0.2732,0.091,0.909,0.0
tomyoritaka,1262532671042998272,2020-05-18 23:57:00+00:00,0,#coronavirus #standwithitaly,@BBCWorld @BBCNews,0,0,Tears inside Milan’s #coronavirus quarantine hotel - @BBCWorld @BBCNews #standwithitaly,,,,@BBCNews,Milan # coronavirus quarantine hotel @BBCWorld @BBCNews # standwithitaly,-0.2263,0.174,0.826,0.0
ARROxford,1262532619276820481,2020-05-18 23:56:47+00:00,0,,,0,1,"It’s not spiteful Peter, Zayn has identified a silly tweet from you and has highlighted so rather than hide behind your profile and act like a wuss, how about you put forward an argument that explains your tweet around Coronavirus and 5G",,,,,Peter Zayn Coronavirus,0.1387,0.094,0.779,0.127
guardian,1262532497725890562,2020-05-18 23:56:18+00:00,88,,,35,9,"Coronavirus live news: WHO promises independent review of global response as US deaths pass 90,000 ",,,,,Coronavirus US,0.3818,0.0,0.843,0.157
DesmondMcCarey2,1262532415060357127,2020-05-18 23:55:59+00:00,0,,,0,0,When I get back to my classes: 1. Are all schools now fully insured 're Covid 19 through their insurance policy? 2 Has the HSE and risk assessors reviewed 'the science'? 3. Have caveats been added to insurance policies in our schools? Stay safe. Heads.. I salute you,,,,,Covid HSE,0.327,0.041,0.893,0.067
ed_reads,1262532323595206656,2020-05-18 23:55:37+00:00,0,,,0,0,Arts funding plea as Globe warns it may not survive Covid-19 crisis | Shakespeare's Globe | The Guardian ,,,Shakespeare,,Globe | Shakespeare Globe | Guardian,0.4393,0.068,0.773,0.159
IRNRadioNews,1262532300379688963,2020-05-18 23:55:31+00:00,1,,,0,0,At 1 with Daisy - Everyone aged five and over in the UK with symptoms can now be tested for coronavirus,,,,,Daisy UK coronavirus,0.0,0.0,1.0,0.0
charlierichmond,1262532230993399808,2020-05-18 23:55:15+00:00,0,,,0,0,My answer to How many people are infected with coronavirus (COVID-19) a day? ,,,,,coronavirus COVID-19,-0.4939,0.211,0.789,0.0
patricklilley,1262532100097552386,2020-05-18 23:54:44+00:00,1,,@Helen_Whately @A_ZofWonderment @UNISONorg,0,0,"@Helen_Whately Can you let me know what role, if any you have had on the policy of 2nd April to empty hospitals &amp; send Covid 19 +ve patients into care homes. If not you, then who? Has it been reversed? These actions seeded Covid in care homes ?@A_ZofWonderment @UNISONorg",,,,@UNISONorg,April amp Covid ve Covid @A_ZofWonderment @UNISONorg,0.7303,0.033,0.84,0.127
lovejoyantiques,1262532074730332162,2020-05-18 23:54:37+00:00,0,,,0,1,You always have to be very suspicious of people using the definite article with science - ‘the science’ is a very odd phrase that has crept in around Covid-19. Useful marker though. ,,,,,Covid-19,-0.0992,0.14,0.729,0.13
AdilMannan,1262532050390827008,2020-05-18 23:54:32+00:00,1,#PIA #COVID19 #aircraftforsale #SilverLining,,0,0,Hope #PIA can bounce back even stronger post #COVID19 ... opportunity to monopolise direct international routes by providing a high class service ... cheaper 2nd-hand #aircraftforsale with the crash in global industry... #SilverLining ,,,,,PIA SilverLining,0.6808,0.068,0.725,0.208
roger55410174,1262531885483294720,2020-05-18 23:53:52+00:00,0,,,0,1,"$PTON it was trading pre-market above $50 I think there is CTA trading on Covid names and today was a sell-off across all names like $SHOP, $ZM, $NFLX, $W ... etc Stocks were on a straight line down",,,W,,Covid SHOP ZM NFLX,0.5267,0.0,0.891,0.109
jj_talking,1262531842365779968,2020-05-18 23:53:42+00:00,0,,,0,0,If they have COVID-19 or are trying to avoid it yes. PS. You need more followers ,,,,,PS,0.128,0.116,0.741,0.143
DesmondMcCarey2,1262531707305111559,2020-05-18 23:53:10+00:00,0,,,0,0,When I get back to my classes: 1. Are all schools now fully insured 're Covid 19 through their insurance policy? 2 Has the HSE and risk assessors reviewed 'the science'? 3. Have caveats been added to insurance policies in our schools? Stay safe. Heads.. I salute you,,,,,Covid HSE,0.327,0.041,0.893,0.067
Joanmaese,1262531615596609537,2020-05-18 23:52:48+00:00,0,,@FinancialTimes,0,0,Inside Trump’s coronavirus meltdown | Free to read https://www.ft.com/content/97dc7de6-940b-11ea-abcd-371e24b679ed via @financialtimes,,,,,Trump | Free https://www.ft.com/content/97dc7de6-940b-11ea-abcd-371e24b679ed,0.5106,0.0,0.752,0.248
rashmeerl,1262531601390620672,2020-05-18 23:52:45+00:00,0,,,0,0,People on the UK’s coronavirus furlough scheme should be put to work to help the country out of the crisis ,,,,,UK coronavirus furlough,-0.34,0.165,0.726,0.109
faizolana,1262531591173259265,2020-05-18 23:52:42+00:00,2,,,0,0,How did we go from ww1 to Covid 19 ,,,ww1,,ww1 Covid,0.0,0.0,1.0,0.0
GessessI,1262531546126245888,2020-05-18 23:52:31+00:00,0,,,0,0,"Credit Repair Services Market 2020: Potential Growth, Challenges, and Know the Companies List Could Potentially Benefit or Loose out From the Impact of COVID-19 | Key Players: Lexington Law, http://CreditRepair.com, Sky Blue Credit Repair, The Credit… http://dlvr.it/RWvqky",,,,Sky Blue Credit Repair,Credit Repair Services Potential Growth Challenges Potentially Benefit Loose | Players Lexington Law Sky Blue Credit Repair Credit,0.8316,0.051,0.683,0.267
OscarMontgomery,1262531546042363905,2020-05-18 23:52:31+00:00,0,,,0,0,"Credit Repair Services Market 2020: Potential Growth, Challenges, and Know the Companies List Could Potentially Benefit or Loose out From the Impact of COVID-19 | Key Players: Lexington Law, http://CreditRepair.com, Sky Blue Credit Repair, The Credit… http://dlvr.it/RWvqkx",,,,Sky Blue Credit Repair,Credit Repair Services Potential Growth Challenges Potentially Benefit Loose | Players Lexington Law Sky Blue Credit Repair Credit,0.8316,0.051,0.683,0.267
stockbtctrader,1262531432628588545,2020-05-18 23:52:04+00:00,2,,,0,0,"Ivermectin and Doxycycline, can work wonders for COVID-19 patients.",,,Doxycycline,,Ivermectin Doxycycline,0.0,0.0,1.0,0.0
Charles_Hecker,1262531411417931777,2020-05-18 23:51:59+00:00,0,,,0,0,"Something I genuinely don’t understand: The food service industry is regulated within an inch of its life. (Undercooked chicken, anyone?) So why not uniform restaurant health standards for post-COVID-19 reopenings? ",,,,,,0.0,0.0,1.0,0.0
stockbtctrader,1262531286788444169,2020-05-18 23:51:30+00:00,4,,@moon_bio @JamesTodaroMD @raoult_didier @idrissaberkane @sanchak74,1,0,"Covid19 dual antibiotics, Ivermectin and Doxycycline, can work wonders for COVID-19 patients. @moon_bio @JamesTodaroMD @raoult_didier @idrissaberkane @sanchak74",,,Doxycycline,,Ivermectin Doxycycline @moon_bio @JamesTodaroMD,0.0,0.0,1.0,0.0
missingfaktor,1262531242643410950,2020-05-18 23:51:19+00:00,2,,@dyokomizo,0,1,"against COVID-19. Please take a look here: https://medium.com/@dyokomizo/covid-19-containment-considerations-8676878284ea. Thank you for all that you are doing, and both @dyokomizo and I are available for any more help we can offer. Let's win this fight together. जय महाराष्ट्र. [n/n]",,,,n/n,जय n n,0.8221,0.063,0.693,0.244
AdilMannan,1262531236578365441,2020-05-18 23:51:18+00:00,0,#COVID19,,0,0,Hope it can bounce back even stronger post #COVID19,,,,,,0.6705,0.0,0.56,0.44
standardnews,1262531211928449026,2020-05-18 23:51:12+00:00,5,,,7,1,Prisoners with coronavirus not allowed to shower for weeks ,,,,,coronavirus,-0.5106,0.292,0.708,0.0
i_Repair_Man,1262531133964722180,2020-05-18 23:50:53+00:00,0,#Covid19 #BakerStreet #NW1 #Putney #SW15 #Watford #WD24 #UXbridge #UB9 #Knightsbridge #SW3 #iPhone11 #iPhone11promax #iPhoneX,,0,0,Do you think that you cannot get fix iPhone LCD fix in Covid-19 ? We wear gloves and face mask and maintain social distance. #Covid19 Anywhere in London #BakerStreet #NW1 #Putney #SW15 #Watford #WD24 #UXbridge #UB9 #Knightsbridge #SW3 #iPhone11 #iPhone11promax #iPhoneX,,,,,iPhone LCD Covid-19 Covid19 London # BakerStreet # NW1 # Putney SW15 # Watford WD24 # UXbridge UB9 Knightsbridge SW3,0.0,0.0,1.0,0.0
