username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
balarkae_,1260721434051186690,2020-05-13 23:59:47+00:00,0,,,0,0,Coronavirus got prices of VR headsets soaringgggg ffs only now I wanted one and this happens,,,,Coronavirus,Coronavirus VR,-0.5859,0.202,0.7979999999999999,0.0
tinyroni2,1260721346390241289,2020-05-13 23:59:26+00:00,0,,@YouTube,0,0,Inside Britain’s biggest care home provider as it battles coronavirus https://youtu.be/Q5CEjz8msXo via @YouTube Government just killing the elderly with no care whatsoever.,,government,,,Britain coronavirus https://youtu.be/Q5CEjz8msXo @YouTube Government,-0.7527,0.312,0.584,0.104
khalefadel,1260721240052039680,2020-05-13 23:59:01+00:00,0,,@TheGardianNews,0,0,@TheGardianNews if the U.K. gov wants to take a raw model in how to counter Covid 19 then look at the Algerian authorities. All measures taken today by the U.K. are those already taken by Algeria two months ago. This is why algeria barely has just over 500 death.,,,,,U.K. Covid U.K. Algeria algeria,-0.5994,0.075,0.925,0.0
aaslimited,1260721227712339973,2020-05-13 23:58:58+00:00,0,,,0,0,Capes crash; Geopolitics coupled with Coronavirus dictates the new era https://www.allaboutshipping.co.uk/2020/05/13/capes-crash-geopolitics-coupled-with-coronavirus-dictates-the-new-era/,,,,Coronavirus,Coronavirus https://www.allaboutshipping.co.uk/2020/05/13 coronavirus dictates era/,-0.4019,0.213,0.787,0.0
tomvarsavsky,1260721174633426944,2020-05-13 23:58:45+00:00,0,,,0,0,I think Tim meant how many people are currently infected with COVID. Which is the number on the site 244k ~ 0.36% of the population.,,,,,Tim COVID,-0.4404,0.116,0.836,0.047
ColinCesvette,1260721036183703553,2020-05-13 23:58:12+00:00,0,,,0,0,"Top story: Bill Gates’s new coronavirus plan involves refreshing the Giving Pledge - Vox https://www.vox.com/recode/2020/5/13/21254870/bill-gates-coronavirus-giving-pledge-billionaires-gates-foundation, see more http://tweetedtimes.com/ColinCesvette?s=tnp",,,,,Bill Gates coronavirus Giving Pledge Vox https://www.vox.com/recode/2020/5/13/21254870/bill-gates-coronavirus-giving-pledge-billionaires-gates-foundation,0.4939,0.0,0.792,0.208
CatherineAnnMK,1260720965086044161,2020-05-13 23:57:55+00:00,2,,,0,0,"This ""nhs being able to cope"" thing as one of the measures is really confusing me, because the NHS has been on its knees since way before covid and also I just got the old ""unless you're literally dead call back next week"" from 111",,nhs,,,NHS covid,-0.7574,0.131,0.8690000000000001,0.0
2020von2020,1260720742792134660,2020-05-13 23:57:02+00:00,5,#VoiceOfNations,,7,0,US senators introduce sanctions bill to hold China accountable for COVID-19 Outbreak. #VoiceOfNations,,,,,US China Outbreak,0.0,0.0,1.0,0.0
ShafiAhmed5,1260720697241931776,2020-05-13 23:56:51+00:00,14,,,5,0,Drugmaker Roche in talks with UK govt to roll out coronavirus antibody test kits | Article [AMP] | Reuters ,,,,AMP,Drugmaker Roche UK govt coronavirus | Article AMP | Reuters,0.0,0.0,1.0,0.0
RoseDHart,1260720683375644672,2020-05-13 23:56:48+00:00,0,,,0,0,And we are now learning that young children are developing a rare but deadly complication associated with Covid19 of which they have seen several deaths in Italy and about which we do not yet know enough to make any confident assertion that children are not affected. Reckless ,,,,,Covid19 Italy,0.8340000000000001,0.0,0.8320000000000001,0.168
clivedeamer,1260720638555312134,2020-05-13 23:56:37+00:00,0,,,0,0,"Grant Schapps is a Tory B’Stard. He’s saying if you’re a transport worker you’re not important, I don’t give a shit about you, the government don’t give a shit about you. How dare you think you deserve a mask to protect you from covid19. ",,government,,a Tory B’Stard,Grant Schapps Tory covid19,-0.5707,0.166,0.737,0.096
majidkhan89,1260720433214697474,2020-05-13 23:55:48+00:00,0,,,0,1,"The way our Government approached to tackle Covid 19 reminds me of an episode from Chernobyl. Where one of the senior staff asks for the reading of radiation level. In response to the radiation level, he then says ""3.6. It's not great. But it's not terrible"".",,government,,,Government Covid Chernobyl,0.2924,0.043,0.889,0.067
TheDragonflyC,1260719994637176832,2020-05-13 23:54:04+00:00,0,,@ProBonoNews,0,0,Reimagining your social enterprise business model post COVID-19: The 16 social enterprise model types https://probonoaustralia.com.au/news/2020/05/reimagining-your-social-enterprise-business-model-post-covid-19-the-16-social-enterprise-model-types/ via @probononews,,,,,post https://probonoaustralia.com.au/news/2020/05/reimagining-your-social-enterprise-business-model-post-covid-19-the-16-social-enterprise-model-types/,0.0,0.0,1.0,0.0
