username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
simonnread,1250573542112010257,2020-04-15 23:55:41+00:00,5,#coronavirus,,3,2,I spoke to pharmacists across the country for this BBC piece about their #coronavirus struggles ,,,,,BBC,-0.3612,0.152,0.848,0.0
The_NewArab,1250573384800514050,2020-04-15 23:55:04+00:00,3,#coronavirus,,4,0,"In-depth: ""Foreign mercenaries and fractured healthcare heighten Libya's #coronavirus risks"" ",,,,,Libya #,-0.2732,0.189,0.8109999999999999,0.0
AnOfMumu,1250573281490542592,2020-04-15 23:54:39+00:00,1,#nhs #ppe #covid19 #coronavirus,@RoyalFamily,0,1,What a trashy interview during a pandemic. Can someone please enlighten these @royalfamily! Please help our #nhs with #ppe! #covid19 #coronavirus Princess Anne hints at feelings about Prince Harry and Meghan Markle's royal changes | HELLO! ,,nhs,Meghan Markle's,,# Princess Anne Prince Harry Meghan Markle | HELLO,0.8879,0.0,0.736,0.264
majesticcollege,1250572252342607872,2020-04-15 23:50:34+00:00,0,#coronavirus #propertyprices #houseprices,@YouTube,0,0,"House prices set to fall by £30,000 on average say CEBR https://youtu.be/Fs5GemRE77w via @YouTube #coronavirus #propertyprices #houseprices",,,,,House CEBR @YouTube,0.0,0.0,1.0,0.0
varunvnair,1250571071859953666,2020-04-15 23:45:52+00:00,0,#Diversity #nhs #coronavirus #coronavirusuk #COVID19 #Covid19UK,,0,0,#Diversity makes us stronger. https://www.youtube.com/watch?v=gXGIt_Y57tc #nhs #coronavirus #coronavirusuk #COVID19 #Covid19UK,,nhs,Covid19UK,,nhs coronavirus #,0.3818,0.0,0.7759999999999999,0.224
samehelbarqy,1250570864392900608,2020-04-15 23:45:03+00:00,0,#CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,0,0,"UK beginning to see ""flattened curve"" in new coronavirus cases #CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk",,,,,UK coronavirus COVID19 # CoronaCrisis # CoronavirusPandemic # CoronavirusOutbreak # coronavirusUSA,0.0,0.0,1.0,0.0
samehelbarqy,1250570825591291907,2020-04-15 23:44:53+00:00,0,#CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,0,0,France registers first decline in coronavirus hospitalizations while death toll climbs #CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,,,,France coronavirus COVID19 # CoronaCrisis # CoronavirusPandemic # CoronavirusOutbreak # coronavirusUSA,-0.5994,0.163,0.8370000000000001,0.0
samehelbarqy,1250570733731840000,2020-04-15 23:44:32+00:00,0,#CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,0,0,San Francisco launched contact tracing program #CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,,,,San Francisco COVID19 # CoronaCrisis # CoronavirusPandemic # CoronavirusOutbreak # coronavirusUSA,0.128,0.0,0.909,0.091
samehelbarqy,1250570700202684417,2020-04-15 23:44:24+00:00,0,#CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,0,0,Turkey records highest daily toll for second day in a row with 115 deaths #CoronaVirusUpdates #COVID #FlattenTheCurve #COVID19 #CoronaCrisis #coronavirus #CoronavirusPandemic #CoronavirusOutbreak #coronavirusUSA #coronavirusuk,,,,,Turkey COVID19 # CoronaCrisis # CoronavirusPandemic # CoronavirusOutbreak # coronavirusUSA,0.0,0.0,1.0,0.0
Reece_devittori,1250570662365847563,2020-04-15 23:44:15+00:00,0,#COVID19 #lockdown #Coronavirus #WHO #ChinaVirus,,0,0,"Remember when #COVID19 was sort of becoming a thing in Italy and the Italian government did this whole ""hug a Chinese"" thing to prevent racism? Yeah, thanks for that one leftists #lockdown #Coronavirus #WHO #ChinaVirus",,government,,,# Italy Chinese Coronavirus ChinaVirus,0.4939,0.094,0.691,0.214
