username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
malsimons,1237165052106588160,2020-03-09 23:55:08+00:00,0,#coronavirus #Brexit #BrexitShambles,,0,0,"Bit dark I know, and I’d rather no one had #coronavirus however if we have to have a pandemic, couldn’t it have been before the 2016 referendum #Brexit #BrexitShambles",,,,,coronavirus Brexit BrexitShambles,-0.29600000000000004,0.073,0.927,0.0
ThatGuyAkshay,1237161839257141250,2020-03-09 23:42:22+00:00,0,#Holi #Holi #StPatricksDayParade #coronavirus,,0,0,"So let’s see, #Holi colour throwing is cancelled, Football is cancelled, #StPatricksDayParade is cancelled, everything fun is cancelled because of this #coronavirus ",,,,,# # StPatricksDayParade #,-0.4019,0.28300000000000003,0.601,0.117
rwfanfest,1237160800147644416,2020-03-09 23:38:14+00:00,24,#CoronaVirus,@robbiewilliams,2,1,"Thinking of our many, many friends in Italy who are now in lockdown and quarantined because of the #CoronaVirus. Our mutual love for @robbiewilliams brought us together and our friendships have no borders. Sending much love and strength to you all ",,,,@robbiewilliams,Italy CoronaVirus,0.9442,0.04,0.642,0.317
CaroSwannie,1237160382831230979,2020-03-09 23:36:35+00:00,3,#coronavirus #deaf #hardofhearing #deafaware,,2,0,"Wearing masks may help prevent the spread of, or protect people from, #coronavirus. But spare a thought for the #deaf and #hardofhearing who rely on lip reading to understand speech. We will be severely impacted if wearing masks becomes a necessity #deafaware",,,,,,-0.3182,0.086,0.8140000000000001,0.101
Gloss80Official,1237156894575337473,2020-03-09 23:22:43+00:00,5,#panicbuyinguk #coronavirus #COVID19,@superdrug,0,1,Sign up in the window of a @superdrug store today! Also on my way home this evening popped into a supermarket and they were sold out of toilet roll......just why people??? Why??? #panicbuyinguk #coronavirus #COVID19,,,,,panicbuyinguk,0.0,0.0,1.0,0.0
MuhibKhan77,1237156192255913984,2020-03-09 23:19:56+00:00,0,#Coronavirus,,0,1,"""Coronavirus: WHO says threat of a pandemic now 'very real' as all of Italy goes on lockdown"" #Coronavirus ",,,Coronavirus,,Coronavirus Italy Coronavirus,-0.5267,0.16699999999999998,0.833,0.0
MariOlano,1237154379486109700,2020-03-09 23:12:43+00:00,0,#Coronavirus,,1,1,Número de casos de #Coronavirus en el Reino Unido esta creciendo Londres con 61 casos es el que más tiene Y mientras tanto el gobierno SOLO recomienda que nos sigamos lavando las manos y ya ,,,,,Número de de # Coronavirus el Reino Unido esta Londres es el que más tiene Y mientras tanto el gobierno SOLO recomienda que nos sigamos lavando las manos y,0.0,0.0,1.0,0.0
irwinjc,1237153097513918465,2020-03-09 23:07:38+00:00,3,#coronavirus,,0,0,Yup #coronavirus ,,,,,Yup coronavirus,0.0,0.0,1.0,0.0
Bparlma,1237152688846131201,2020-03-09 23:06:00+00:00,0,#coronavirus #CNN,,0,0,Mike Pence just making things up as he goes along...he has no clue about anything #coronavirus #CNN,,,,CNN,Mike Pence CNN,-0.29600000000000004,0.121,0.879,0.0
mauropedretti81,1237152545765830657,2020-03-09 23:05:26+00:00,0,#coronavirus #Quarantine #ItaliaZonaRossa,,0,0,#coronavirus #Quarantine #ItaliaZonaRossa,,,,,coronavirus # Quarantine,0.0,0.0,1.0,0.0
AndrewFstewart,1237152107431702529,2020-03-09 23:03:42+00:00,5,#panicbuyinguk #COVID19 #coronavirus,,1,0,Chill #panicbuyinguk #COVID19 #coronavirus it’s fine and it will be fine and you will be fine. ,,,,,Chill COVID19,0.5267,0.0,0.7070000000000001,0.293
mauropedretti81,1237152060791042052,2020-03-09 23:03:31+00:00,0,#coronavirus #CoronaVirusitaly,,0,0,En italia se está liando parda... #coronavirus #CoronaVirusitaly,,,,,italia se está liando parda # CoronaVirusitaly,0.0,0.0,1.0,0.0
MDXpublichealth,1237151263982313472,2020-03-09 23:00:21+00:00,28,#publichealth #coronavirus #COVID19,@DrWillN @SiouxsieW,21,0,"This is called an epidemiological curve, and it’s one of the first things we learnt in our #publichealth classes. Please heed the latest advice on #coronavirus and do all you can to help flatten the epi curve of #COVID19. Thanks for sharing, @DrWillN. @SiouxsieW et al – at Middlesex University",,,,Middlesex University,epi @DrWillN. et al Middlesex University,0.8658,0.0,0.8109999999999999,0.189
AndrewJohnKidd,1237150780404240386,2020-03-09 22:58:25+00:00,1,#bbcpapers #coronavirus,@CliveMyrieBBC,0,0,"@CliveMyrieBBC insightful #bbcpapers as always, Clive. Keeping calm and carrying on here but it is unnerving, is it not! #coronavirus",,,,,@CliveMyrieBBC Clive coronavirus,0.2363,0.0,0.907,0.093
MariOlano,1237149670859833346,2020-03-09 22:54:01+00:00,0,#lockdown #coronavirus,,0,0,It looks like France is next for #lockdown #coronavirus ,,,,,France,0.3612,0.0,0.762,0.238
