username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
Lionel46294550,1242964366066176001,2020-03-25 23:59:32+00:00,18,#coronavirus,,2,7,"#coronavirus He shouldn’t of been accepted they should of locked him in an isolated cell and made an example of him, he put his life in his own hands now deal with it, how many people has he now infected ffs this really pisses me off ",,,coronavirus,,coronavirus,-0.8718,0.218,0.7440000000000001,0.038
HuffPostUKEnt,1242964250752102405,2020-03-25 23:59:05+00:00,10,#LoveIsland #coronavirus,,2,4,"#LoveIsland's Olivia Attwood says being ""contained"" in villa was ""worse"" than #coronavirus isolation ",,,,Olivia Attwood,LoveIsland Olivia Attwood # coronavirus,-0.7003,0.345,0.655,0.0
TTATradetoAid,1242964216891531264,2020-03-25 23:58:57+00:00,2,#Nairobi #Kenya #Africa #coronavirus #solidarity #aid,,1,0,Trade to Aid pilot project Onemas in #Nairobi #Kenya begins supplying hand sanitizer gel to community. #Africa currently putting urgent healthcare safeguarding mechanisms in place in order to ensure protection from COVID-19 http://www.medcleartta.com. #coronavirus #solidarity #aid,,,,,Onemas Nairobi # Kenya # Africa,0.872,0.0,0.723,0.277
nikki_cleary,1242964207588519937,2020-03-25 23:58:54+00:00,0,#coronavirus,,0,0,Isolation is you laughing at your hands dry humour #coronavirus,,,,,coronavirus,0.5574,0.16899999999999998,0.438,0.394
BryanPlumb,1242964153901473793,2020-03-25 23:58:42+00:00,1,#coronavirus #CoronavirusLockdown #ToryShambles #ToryLies #ToryBritain #covid19UK #COVID19,,0,0,"Tories: ""We're taking over the ExCel and launching 4,000 temporary hospital beds! NHS FTW!"" Also Tories: ""We closed down 17,000 permanent hospital beds because FU NHS!"" #coronavirus #CoronavirusLockdown #ToryShambles #ToryLies #ToryBritain #covid19UK #COVID19",,nhs,,,ExCel NHS FTW Tories FU NHS # CoronavirusLockdown # ToryShambles ToryLies ToryBritain,0.2905,0.126,0.6970000000000001,0.177
paoloadriano,1242963736954130434,2020-03-25 23:57:02+00:00,0,#China #coronavirus,,1,1,"Frente a las operaciones de desinformación y propaganda de #China, los hechos: Alemania está ayudando a Francia e Italia en la crisis del #coronavirus. ",,,Francia,,Frente las operaciones desinformación de China los hechos Alemania Francia e Italia la crisis del # coronavirus,-0.7269,0.217,0.7829999999999999,0.0
fruitoftheloom2,1242963473220251648,2020-03-25 23:55:59+00:00,0,#HALALAN2022 #covid19 #coronavirus #philippines #Covid_19 #Covid_19PH,,0,0,#HALALAN2022 #covid19 #coronavirus #philippines #Covid_19 #Covid_19PH,,,,,HALALAN2022 coronavirus #,0.0,0.0,1.0,0.0
dellathepoet,1242963408623992833,2020-03-25 23:55:44+00:00,0,#coronavirus,,0,0,‘Shouldn’t heaven be super heavy by now?’ ~ Ocean Vuong #coronavirus,,,Ocean Vuong #coronavirus,,heaven Ocean Vuong,0.802,0.0,0.556,0.444
fruitoftheloom2,1242963272099192832,2020-03-25 23:55:11+00:00,0,#HALALAN2022 #covid19 #coronavirus #philippines #Covid_19 #Covid_19PH,,0,0,#HALALAN2022 #covid19 #coronavirus #philippines #Covid_19 #Covid_19PH,,,,,HALALAN2022 coronavirus #,0.0,0.0,1.0,0.0
HelKatUK,1242963219825807360,2020-03-25 23:54:59+00:00,0,#coronavirus,@Shelter,0,0,I've just supported the @Shelter call for urgent action to the #coronavirus pandemic. We must support those facing housing issues during this crisis. Join me here: ,,,,,@Shelter coronavirus,0.2789,0.14,0.602,0.258
