username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
yourdana,1237527660760190978,2020-03-10 23:56:01+00:00,0,#earthisbreathing #coronavirus,,0,0,Let us all lockdown for a bit to get our earth breathing a bit ! This virus is changing the world ! Everything & everyone is being tested as part of the cosmic challenge ! Let us embrace health & be responsible #earthisbreathing when humans are being tested #coronavirus ,,,,,health # coronavirus,0.6981,0.0,0.872,0.128
Capital_FinServ,1237525048740610049,2020-03-10 23:45:38+00:00,4,#UK #coronavirus #COVID2019uk #COVID19,,2,0,It’s time to call a freeze to all events over 50 people. Get people working from home (where possible). If the Government won’t call it then we the people must. #UK #coronavirus #COVID2019uk #COVID19,,government,,COVID2019uk #,Government UK,0.0516,0.0,0.965,0.035
OksanaPyzikUCL,1237524591540486145,2020-03-10 23:43:49+00:00,4,#COVID #coronavirus #COVID2019uk,,3,0,"Around 1 out of every 6 people who gets #COVID-19 becomes seriously ill &amp; develops difficulty breathing. If you think you might have #coronavirus symptoms such as fever, tiredness, &amp; dry cough call NHS 111. #COVID2019uk is set to peak by Easter-minimise exposure where possible.",,nhs,,,amp amp NHS Easter,-0.7096,0.141,0.8590000000000001,0.0
Karashgould,1237523913204097026,2020-03-10 23:41:07+00:00,3,#Coronavirus,,0,0,#Coronavirus ,,,Coronavirus,,# Coronavirus,0.0,0.0,1.0,0.0
SE15Fellow,1237523911786418176,2020-03-10 23:41:07+00:00,0,#coronavirus #SelfIsolation #COVID2019uk,@NadineDorries @BorisJohnson @10DowningStreet,0,0,"Yikes. UK Health Minister @NadineDorries has tested positive for #coronavirus. She reportedly fell ill last Friday, but had subsequent contact with 100s of people, including lots of MPs and @BorisJohnson @10DowningStreet before going into #SelfIsolation #COVID2019uk",,,,,UK Health Minister @NadineDorries Friday MPs @BorisJohnson @10DowningStreet # SelfIsolation,0.1027,0.05,0.89,0.06
sarahkay1221,1237523405559087104,2020-03-10 23:39:06+00:00,0,#coronavirus #COVID19,,0,0,This genuinely scared me... read the thread... #coronavirus #COVID19,,,,,,-0.4404,0.266,0.7340000000000001,0.0
Miss_Toppin,1237523015606263808,2020-03-10 23:37:33+00:00,0,#hygiene #coronavirus,,0,0,#hygiene #coronavirus ,,,,,coronavirus,0.0,0.0,1.0,0.0
Arlene00_00,1237522500294021120,2020-03-10 23:35:30+00:00,4,#CryptoCompareSummit #coronavirus #londontech #fintechuk #nohandshake #yoda #yoda #geek,@CryptoCompare,0,0,Great turn out for @CryptoCompare #CryptoCompareSummit despite #coronavirus Well done London! #londontech #fintechuk #nohandshake The crypto is strong with this one #yoda #geek,,,,,@CryptoCompare coronavirus London #,0.7251,0.119,0.627,0.254
ThatGuyAkshay,1237521774713044992,2020-03-10 23:32:37+00:00,2,#coronavirus,@NadineDorries,0,0,Now that a Tory has tested positive for #coronavirus maybe the government might actually do something constructive to contain it! Best wishes &amp; speedy recovery to @NadineDorries we fully oppose your hateful politics but we do not wish for anyone to suffer ill health,,government,,,Tory coronavirus,-0.8645,0.243,0.648,0.109
Karashgould,1237519665103925249,2020-03-10 23:24:14+00:00,10,#Coronavirus,,0,4,I'm frightened by the phlegmatic attitude of my cancer hospital when I've emailed/phoned Helpline re guests coming to the chemo suite. On some treatment days I've counted 3 visitors each patient staying all day/using the loos. That's 120 guests in a crowded clinic. #Coronavirus,,,Coronavirus,,Helpline Coronavirus,-0.8074,0.14800000000000002,0.852,0.0
