username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
enzodimaio,1235353859507314688,2020-03-04 23:58:06+00:00,3,#coronavirus,,2,2,"You don't die from the virus, but you die with the #coronavirus. – at University College Hospital",,,,University College Hospital,# coronavirus University College Hospital,-0.6459,0.239,0.669,0.092
abdulmuhammad30,1235350845967003649,2020-03-04 23:46:08+00:00,0,#Coronavirus #flybecollapse,,1,0,How do you feel about Flybe collapsing? Please retweet to increase sample size. #Coronavirus #flybecollapse,,,Coronavirus,,Flybe Coronavirus,0.34,0.117,0.638,0.245
WhittockTweets,1235349383371206657,2020-03-04 23:40:19+00:00,6,#sony #coronavirus,@SPTV,1,2,"Never had a story ripped off quite so emphatically as my @SPTV #sony #coronavirus scoop this morning, but there you go...",,,,,@SPTV sony # coronavirus scoop,0.0772,0.0,0.939,0.061
RencapMan,1235343829911457792,2020-03-04 23:18:15+00:00,5,#Coronavirus #Iran,,0,1,#Coronavirus deaths in #Iran put at 210 by health sector source says BBC vs 34 official figure .. + focus on the rise of fake news in the country,,,,,Coronavirus Iran BBC,-0.4767,0.1,0.9,0.0
johnDmartinez,1235338475693629442,2020-03-04 22:56:58+00:00,1,#coronavirus,,0,2,"The way #coronavirus has transformed the way we interact, including the way we greet each other, is truly unbelievable. Anyone doing elbow bumps already in London? I feel like I need to practise ",,,,,coronavirus London,0.8176,0.0,0.753,0.247
Louise_Gwilliam,1235336568858185728,2020-03-04 22:49:24+00:00,4,#CoronaVirus #WomensWednesdays #RugbyUnionWeekly,,0,0,"We only mentioned #CoronaVirus once on the pod, promise. The rest of #WomensWednesdays #RugbyUnionWeekly was mainly spent laughing... And World player of the year Emily Scarratt popped along too ",,,Emily Scarratt,,CoronaVirus WomensWednesdays # World Emily Scarratt,0.6705,0.0,0.831,0.16899999999999998
BdexEntz,1235334589066940427,2020-03-04 22:41:32+00:00,0,#coronavirus #bdexentertainment #bdextv,,0,0,"To avoid any diseases like #coronavirus and others #bdexentertainment #bdextv @London, United Kingdom https://www.instagram.com/p/B9VCi67BS5H/?igshid=1q9ogh7utnr7c",,,,,coronavirus @London United Kingdom,0.4767,0.119,0.595,0.28600000000000003
hashemi_shafiq,1235332836288323584,2020-03-04 22:34:34+00:00,1,#CoronaVirus,,0,0,That scarf will do NOTHING! #CoronaVirus is spread BEFORE symptoms show! What a moron. ,,,CoronaVirus,,CoronaVirus,-0.5837,0.225,0.775,0.0
Timmo_Crowley,1235328830790868998,2020-03-04 22:18:39+00:00,0,#coronavirus,,0,1,The first of a few casualties of the #coronavirus I fear Simon ,,,,,Simon,-0.4939,0.225,0.775,0.0
karenlreyburn,1235328307496988675,2020-03-04 22:16:34+00:00,4,#coronavirus,,0,1,I’m not sure if this is helpful but... you may not be aware there’s a #coronavirus emoji. You’re... welcome??? ,,,,,,0.7148,0.062,0.669,0.269
LAvivson,1235324791638413312,2020-03-04 22:02:36+00:00,1,#Coronavirus,,0,0,"""Coronavirus: More than 94,000 cases have been confirmed worldwide, WHO says"" #Coronavirus ",,,Coronavirus,,Coronavirus Coronavirus,0.0,0.0,1.0,0.0
quinnydreddiva,1235323952194613251,2020-03-04 21:59:16+00:00,1,#coronavirus,,0,2,I want to touch my face... I lift my hands and stop mid-rise.. Information on the news reverberates in my head... I drop my hands and wait till I've washed them ##coronavirus,,,,,,-0.4588,0.124,0.838,0.038
anayaxposso,1235323769918574593,2020-03-04 21:58:32+00:00,1,#aviation #coronavirus #flybe #bbcnews,,0,0,What are our governments doing to protect us from this pandemic and how can we prevent this happening again? #aviation #coronavirus #flybe #bbcnews,,,,,coronavirus,0.4019,0.0,0.85,0.15
thisisyogic,1235320431286026244,2020-03-04 21:45:16+00:00,8,#Coronavirus,,1,5,"Not wanting to scaremonger, but if the UK’s chief medical officer’s worst case scenario is that 80% of the UK becomes infected with #Coronavirus and global death rate is currently 3%, does that mean they are anticipating more than 1.5 million deaths?",,,,,UK UK Coronavirus,-0.9479,0.278,0.69,0.032
The1980sGirl,1235317340058849281,2020-03-04 21:32:59+00:00,13,#coronavirus #BlueMonday,,0,2,My son’s school has been closed since Monday due to a confirmed case of #coronavirus. Monday really was a #BlueMonday for me,,,,,Monday # Monday BlueMonday,0.0,0.0,1.0,0.0
mahdi,1235316667070246919,2020-03-04 21:30:19+00:00,4,#CoronaVirus,@McKinsey,1,0,COVID-19: Implications for business. This article by @McKinsey is intended to provide business leaders with a perspective on the evolving situation and implications of #CoronaVirus for their companies. ,,,CoronaVirus,,@McKinsey CoronaVirus,0.0,0.0,1.0,0.0
Tobys__Mummy,1235313845624860673,2020-03-04 21:19:06+00:00,1,#CoronaAlert #CoronaVirus #Covid_19,,0,1,I genuinely didn’t believe people were ACTUALLY stock piling and panic buying toilet rolls and antibacterial hand wash until I just went to Sainsburys.... complete and utter unnecessary madness. #CoronaAlert #CoronaVirus #Covid_19 – at Sainsbury's,,,,Sainsbury,ACTUALLY Sainsburys # CoronaAlert # CoronaVirus # Sainsbury,-0.507,0.155,0.768,0.077
Shergy23470,1235310502181507072,2020-03-04 21:05:49+00:00,0,#coronav,,0,0," #coronavírus @Sutton, London https://www.instagram.com/p/B9U4CmVnlUjNwrpbtlgtW7Fq2HT8SHGegmf4eQ0/?igshid=1i9xqb6l2mi17",,,London https://www.instagram.com/p/B9U4CmVnlUjNwrpbtlgtW7Fq2HT8SHGegmf4eQ0/?igshid=1i9xqb6l2mi17,,@Sutton London https://www.instagram.com/p/B9U4CmVnlUjNwrpbtlgtW7Fq2HT8SHGegmf4eQ0/?igshid=1i9xqb6l2mi17,0.0,0.0,1.0,0.0
ABird_Zang,1235310289710612482,2020-03-04 21:04:58+00:00,1,#coronavirus #CoronaOutbreak,@edballs,0,0,"While listening to the #coronavirus #CoronaOutbreak news, @edballs sparked the discussion on whether he needs better vegan sausage rolls or a better football team? xx ",,,xx,,# CoronaOutbreak,0.7003,0.0,0.799,0.201
Maskeli_f,1235310206411735042,2020-03-04 21:04:38+00:00,0,#coronavirus,,0,1,death is coming.. #coronavirus ,,,,,coronavirus,-0.5994,0.565,0.435,0.0
jADExXx888,1235309357270786048,2020-03-04 21:01:16+00:00,0,#coronavirus #theworldsgonemad,,0,0,How much longer do we have to listen to this damn foolishness on the news for then?! Conspiracy blood claut shiiit?! #coronavirus I’m really confused #theworldsgonemad RP sassyq1 @Belgravia https://www.instagram.com/p/B9U3hAhhjSg/?igshid=m9tdohuk96l0,,,,RP sassyq1,coronavirus,-0.9192,0.334,0.6659999999999999,0.0
IanHowley,1235308203702915074,2020-03-04 20:56:41+00:00,1,#coronavirus #WashYourHands #WashYourHands,,1,0,WASH YOUR HANDS This has been on loop in my head all day. #coronavirus #WashYourHands,,,,,,0.0,0.0,1.0,0.0
