username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
DavidFurnessGB,1247312510467870721,2020-04-06 23:57:31+00:00,1,#Coronavirus,,0,0,#Coronavirus Mexican brewer suspends Corona beer production ,,,Corona,,,0.0,0.0,1.0,0.0
DavidJRandall,1247312302392709120,2020-04-06 23:56:41+00:00,0,#LoveWins #KindnessMatters #CoronaVirus #FaithRestored #IsolationLife #Rainbow,,1,0,Restoring my faith in humanity one letter at a time. #LoveWins #KindnessMatters #CoronaVirus #FaithRestored #IsolationLife #Rainbow,,,,,LoveWins # KindnessMatters # CoronaVirus # FaithRestored # IsolationLife # Rainbow,0.6124,0.0,0.737,0.263
stopcorona2020,1247311832005644288,2020-04-06 23:54:49+00:00,0,#coronavirus #NHS,,0,0,"government as they themselves said they WANT most of us to catch the #coronavirus, despite being told by their own advisers that this would collapse the #NHS and kill at least half a million of us!!!",,nhs,,,# NHS,-0.8291,0.2,0.753,0.046
Davidmetroland,1247311592175341570,2020-04-06 23:53:52+00:00,5,#coronavirus,@JeanneBartram @carolecadwalla @nickreeves9876,6,1,"This is a Video clip that should go viral, ""how one European country stopped the spread of #coronavirus "" @JeanneBartram @carolecadwalla @nickreeves9876",,,,,,-0.2263,0.083,0.917,0.0
ChevaughnFB,1247310752022700042,2020-04-06 23:50:31+00:00,0,#lockdowneffect #COVID19 #coronavirus,,0,0,I think alcoholism will get me before coronavirus #lockdowneffect #COVID19 #coronavirus,,,,,coronavirus #,0.0,0.0,1.0,0.0
journo_anna,1247310707483447298,2020-04-06 23:50:21+00:00,3,#coronavirus #BorisJohnson #StayHome #StayHome #StayHomeSaveLifes #wishhimwell,,1,0,This is a vile virus. If #coronavirus can put the British Prime Minister #BorisJohnson in intensive care it can call at your door. Take it seriously #StayHome #StayHomeSaveLifes whatever your politics #wishhimwell,,,StayHomeSaveLifes,,coronavirus Prime Minister # BorisJohnson StayHome,-0.3818,0.153,0.763,0.084
ruthandirving,1247310339919790082,2020-04-06 23:48:53+00:00,0,#zonooticdiseases #sars #mers #ebola #hiv #coronavirusuk #coronavirus #spanishflu,,0,0,#zonooticdiseases #sars #mers #ebola #hiv #coronavirusuk #coronavirus #spanishflu Stop spreading disease by eating animals..,,,,,# zonooticdiseases # sars # ebola # hiv # coronavirusuk # coronavirus,-0.29600000000000004,0.145,0.855,0.0
NadiraYassine,1247309988948856832,2020-04-06 23:47:29+00:00,0,#coronavirus,@BBCFergusWalsh,0,0,Inside an intensive care unit fighting #coronavirus - ⁦@BBCFergusWalsh⁩,,,,,coronavirus ⁦@BBCFergusWalsh⁩,0.1779,0.197,0.551,0.252
BEATLESMAGAZINE,1247309491172978689,2020-04-06 23:45:31+00:00,1,#LADYGAGA #LADYGAGA #BILLIEEILISH #PAULMCCARTNEY #CORONAVIRUS,,0,0,"#LADYGAGA, #BILLIEEILISH AND #PAULMCCARTNEY TO PLAY #CORONAVIRUS BENEFIT.. https://beatlesmagazineuk.com/lady-gaga-billie-eilish-and-paul-mccartney-to-play-coronavirus-benefit/",,,BILLIEEILISH,,LADYGAGA CORONAVIRUS https://beatlesmagazineuk.com/lady-gaga-billie-eilish-and-paul-mccartney-to-play-coronavirus-benefit/,0.7824,0.0,0.505,0.495
styleiconnat,1247309437888536576,2020-04-06 23:45:18+00:00,0,#stayathome #stayathome #staysafe #coronavirus #covid19 #nhs #oncall,@BorisJohnson,0,0,Get well @BorisJohnson #stayathome #staysafe #coronavirus #covid19 #nhs #oncall,,nhs,,,# coronavirus # covid19 #,0.2732,0.0,0.792,0.208
BishopAngaelos,1247309235421134848,2020-04-06 23:44:30+00:00,50,#Covid_19 #Coronavirus,@BorisJohnson @NHSuk,9,0,"As we have been praying for those stricken with #Covid_19 #Coronavirus for weeks, tonight we pray for @BorisJohnson, and for those in @NHSuk entrusted with his care and the care of thousands more. “I pray that all may go well with you and that you may be in good health” 3Jn1:2",,,,,Coronavirus @BorisJohnson @NHSuk,0.9358,0.05,0.638,0.312
nikcoppin,1247308833300586496,2020-04-06 23:42:54+00:00,0,#coronavirus #covid19 #borisjohnson #borisjohnsoncoronavirus #nc4pm,,0,1,"If Boris does bite the CoViD-19 bullet, it’ll be tragic and sad even though he is a buffoon. But I’m happy to take over as Prime Minister, so you know, don’t worry, I’ll look after all of you. #coronavirus #covid19 #borisjohnson #borisjohnsoncoronavirus #nc4pm",johnson,,,,Boris CoViD-19 Prime Minister coronavirus # covid19,-0.2144,0.152,0.7509999999999999,0.097
patrobins40,1247308779215085568,2020-04-06 23:42:41+00:00,0,#Covid19 #coronavirus #Brexit,,1,0,"Anyone with a little bit of uncomfortable, even bits of pain here and there... in their chests... around this time going to bed... a little bit afraid to lie down? I’ve been noticing a little anxious lately !! #Covid19 #coronavirus oh #Brexit",,,Brexit,,Covid19 Brexit,-0.7862,0.16899999999999998,0.831,0.0
jordangaster,1247308353988177920,2020-04-06 23:41:00+00:00,0,#COVID19 #coronavirus #StayHome #StayHome,,0,0,Everyone should go and watch the film ‘Contagion’ it’s scarily close to what is happening in the world right now Then maybe people will stay the hell inside... #COVID19 #coronavirus #StayHome,,,,,StayHome,-0.6808,0.133,0.867,0.0
UNPeacebuilding,1247308245628260361,2020-04-06 23:40:34+00:00,7,#coronavirus #COVID19,@UN,3,4," Everyone is talking about #coronavirus disease. Be sure to get your facts from reliable sources. The @UN offices, field missions, agencies, funds &amp; programmes are providing new information as it becomes available. https://www.un.org/en/coronavirus/information-un-system #COVID19",,,,@UN,@UN,0.3182,0.0,0.935,0.065
The_NewArab,1247308114610839553,2020-04-06 23:40:03+00:00,2,#coronavirus,,3,0,An Israeli settler who tested positive for the #coronavirus has been arrested and accused of attempting to spread the disease on a public bus ,,,,,#,-0.1779,0.177,0.7020000000000001,0.12
benedictrogers,1247307861044101122,2020-04-06 23:39:02+00:00,108,#coronavirus #CCP,,26,0,So let's learn the lessons of #coronavirus. Let's stand up to #CCP 2/2,,,,,# # CCP,0.0,0.0,1.0,0.0
bhbunny_ben,1247307706186240010,2020-04-06 23:38:25+00:00,0,#coronavirus,,0,0,Just that they have displayed a far better response to the #coronavirus than many snd that this has been based upon testing and the ability to distance infected people from non infected,,,,,non,-0.29600000000000004,0.162,0.7070000000000001,0.131
CromwellConsult,1247307591820115968,2020-04-06 23:37:58+00:00,0,#virtualschool #COVID19 #coronavirus #onlinelearning #homeschooling #AI #assessment #distancelearning #DistanceTeaching #education #Onlineclass,,1,0,Distance teaching and learning and what it means for education #virtualschool #COVID19 #coronavirus #onlinelearning #homeschooling #AI #assessment #distancelearning #DistanceTeaching #education #Onlineclass http://drjoannagoodman.blogspot.com/2020/03/covid-19-homeschooling-and-what-it.html,,,Onlineclass,,DistanceTeaching Onlineclass,0.0,0.0,1.0,0.0
LouisaCollinsCR,1247307548224450560,2020-04-06 23:37:48+00:00,0,#SocialDistancing #COVID19 #DomesticViolence #Coronavirus,@SDDistAtty,0,1,"If you’re in an abusive relationship, staying home because of #SocialDistancing during #COVID19 can be a stressful situation. You're not alone, there are #DomesticViolence resources available amid #Coronavirus crisis: https://bit.ly/2WSsX63 via @SDDistAtty",,,Coronavirus,,SocialDistancing DomesticViolence Coronavirus,-0.897,0.281,0.677,0.042
DavidPBMaddox,1247307407337967618,2020-04-06 23:37:14+00:00,8,#coronavirus,@MyDoncaster,6,0,This is the best #coronavirus thread on Twitter...and it starts with a dead whale in Florida...well done @MyDoncaster you've earned your council tax payments with this one!,,,,,Twitter Florida,-0.1007,0.136,0.74,0.124
Edmund_Koboah,1247306193497972736,2020-04-06 23:32:25+00:00,0,#COVID19 #Coronavirus,,0,1,Governments all over the world are having to make decisions that will have an effect on its economy and the health of its citizens. This has proven to to be a huge balancing act. #COVID19 #Coronavirus,,,Coronavirus,,Coronavirus,0.3182,0.0,0.938,0.062
TomJ8899,1247306009711968256,2020-04-06 23:31:41+00:00,2,#coronavirus #Hydroxycloroquine,@realDonaldTrump,1,0,"Thank you @realDonaldTrump We cannot allow 1,000's of UK citizens to die in the UK #coronavirus. We haven't got months for trials to finish, if a patient struggling with coronavirus, not improving should be given option to take #Hydroxycloroquine",,,Hydroxycloroquine,,UK UK coronavirus Hydroxycloroquine,-0.8019,0.227,0.72,0.053
PoMoGandhi,1247305523378216961,2020-04-06 23:29:45+00:00,6,#coronavirus,@amitmalviya,2,0,"Dear @amitmalviya ji, do you agree with the figures on #coronavirus released by Modi and BJP state governments, esp when testing is low to non-existent? Or are you folks just spinning it out of thin air so as to say that your irrational stunts have contained its transmission? ",,,,BJP,Dear ji Modi BJP,0.2406,0.083,0.815,0.101
Alain_Grangeret,1247305456147664896,2020-04-06 23:29:29+00:00,0,#BigPharma #Trump #coronavirus,,0,0,"The HCQ+AZT treatment is becoming a political issue. Fight of big egos with the medical aristocracy, fight with the #BigPharma as the cost is $15 per patient and fight against #Trump who decided to promote it! #coronavirus",,,,,BigPharma Trump coronavirus,-0.6696,0.185,0.755,0.06
LunafBarham,1247305055998562311,2020-04-06 23:27:53+00:00,0,#Zoonic #coronavirus,,0,1,"#Zoonic Disease are spread via many ways, #coronavirus was found in a Meat Market via.. *Drinking tainted water or dairy products *Eating infected meat *Inhaling pathogenic droplets or particles *Direct skin-to-skin contact *Direct or indirect contact with animal feces or urine",,,coronavirus,,Zoonic Disease coronavirus Meat,-0.4939,0.07400000000000001,0.926,0.0
