username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
RealWayneLyric1,1267606811185643521,2020-06-01 23:59:49+00:00,0,,,0,0,My people rise up and wise up. Babylon they’re on the lose. They come with their PLANDEMIC and call it Covid 19 but it is a wicked 19. People just be careful of those wicked world leaders. Judgment on injustice.,,,,,Babylon PLANDEMIC Covid,-0.9343,0.298,0.629,0.073
bbchealth,1267606776666566658,2020-06-01 23:59:41+00:00,19,,,13,2,Coronavirus: How dangerous is lifting lockdown? ,,,,,Coronavirus,-0.4767,0.383,0.617,0.0
Bxsnia,1267606691610312704,2020-06-01 23:59:20+00:00,0,,,0,2,"if everyone around you is the problem, maybe the problem isn't everyone else",,,,,,-0.6597,0.329,0.671,0.0
keevachaa,1267606575180664833,2020-06-01 23:58:53+00:00,2,,@10DowningStreet,0,0,what the fuck?! so they're delaying the release of a report on how covid-19 disproportionately affects the BAME community because of their own fragility? release the damn report @10DowningStreet,,,,BAME,covid-19 BAME,-0.7815,0.202,0.798,0.0
tubbyjpin,1267606520176484353,2020-06-01 23:58:40+00:00,0,#giveaway #drinkwine #wine #sparklingdirect #win #Competition #covid #lockdown #socialdistancing,@SparklingDirect,0,0,I have entered a competition with @sparklingdirect to WIN a Social Distancing Red Wine Gift. You can enter here: https://bit.ly/2Anlumw #giveaway #drinkwine #wine #sparklingdirect #win #Competition #covid-19 #lockdown #socialdistancing,,,,,Social Distancing Red Wine Gift # Competition covid-19,0.9049,0.0,0.698,0.302
SayNoMore33,1267606462999691265,2020-06-01 23:58:26+00:00,1,,,1,0,"I say this consistently but whenever I think the United Kingdom cannot any worse, the United States make me look like an idiot. Boris and his clown squad have been lying and manipulating us from the start over COVID Trump just threatened to turn the military on his own people",johnson,,,,United Kingdom United States Boris COVID Trump,-0.5137,0.226,0.581,0.193
kierxnbrxinch,1267606460328022016,2020-06-01 23:58:25+00:00,1,,,0,0,It fully seems like everyone forgot about covid ,,,,,covid,0.4173,0.0,0.716,0.284
PhilMye39535608,1267606385551867904,2020-06-01 23:58:07+00:00,0,,,0,0,ONS Say daily cases are between 8000 & 9000 and this is not disputed by the Government likely reason its even higher? If you feel unwell with with mild Covid symptoms and isolate would you bother to report it?,,government,,,ONS Government Covid,-0.3662,0.107,0.845,0.048
FVerdemela,1267606347207622656,2020-06-01 23:57:58+00:00,5,,,1,0,The fact that this person actually said Boris knows exactly what he is doing with the virus and we have over 50k deaths and one of the top highest Covid deaths in the world and many countries have criticised Boris for his complacent flippant attitude to Covid19. No words.,johnson,,Boris,,Boris Covid Boris Covid19,-0.5423,0.119,0.847,0.034
BBCWorld,1267606275224985600,2020-06-01 23:57:41+00:00,175,,,56,19,Coronavirus: The 'tin pot' RWA dictators running life in India's cities ,,,,,Coronavirus RWA India,0.0,0.0,1.0,0.0
