username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
MadeATea,1259634227123048452,2020-05-10 23:59:37+00:00,23,#HerdImmunity,,16,1,"This is a further experiment with #HerdImmunity My child goes nowhere! I do not believe that children are unaffected, there may be a delay in symptoms but I believe that there is a clear link between the rise in Kawasaki disease cases and Covid19. Children are not safe!",,,,,HerdImmunity Kawasaki Covid19,-0.2366,0.099,0.8370000000000001,0.063
stopcorona2020,1259634186555731970,2020-05-10 23:59:27+00:00,0,#CambridgeAnalytica #Palantir #covid19,,0,1,"1/2 And we already have #CambridgeAnalytica -linked firm #Palantir (also linked to CIA) processing our UK #covid19 tests, along with G4S, the MoD &amp; many others who will have access to a huge amount of personal data linked to our covid status. Note-I'm NOT advising against getting",,,,,CambridgeAnalytica Palantir CIA UK MoD amp,0.3182,0.0,0.952,0.048
thattommyhall,1259634176455819265,2020-05-10 23:59:25+00:00,8,,,1,3,What is the dimension of COVID Alert Level? ,,,,,COVID Alert Level,0.29600000000000004,0.0,0.7609999999999999,0.239
RomanaBhatti,1259634174320836608,2020-05-10 23:59:24+00:00,667,#thanksboris #BorisHasFailed #BorisSpeech #BorisJohnsonCoronavirus #BorisResign,,140,38,I lost my beautiful friend to covid as you were late in implementing the lockdown in the first place. You have her blood and that of many others on your hands #thanksboris #BorisHasFailed #BorisSpeech #BorisJohnsonCoronavirus #BorisResign,,,BorisSpeech,,covid # BorisSpeech # BorisResign,0.7003,0.054000000000000006,0.778,0.16699999999999998
BBCWorld,1259634171741450241,2020-05-10 23:59:24+00:00,497,,,167,20,Coronavirus: Italy’s other emergency - survivors’ mental health ,,,,,Coronavirus Italy,-0.3818,0.271,0.7290000000000001,0.0
MegLeeChin,1259634151663308800,2020-05-10 23:59:19+00:00,3,#lockdown #covid19,,0,0,"New Blog Post: Just say ""NO"" to censorship. #lockdown #covid19 ",,,,New Blog Post,New Blog Post,0.0,0.0,1.0,0.0
guardian,1259634149964554243,2020-05-10 23:59:18+00:00,28,,,12,4,Coronavirus latest: at a glance ,,,,Coronavirus,Coronavirus,0.0,0.0,1.0,0.0
2020von2020,1259634062773366789,2020-05-10 23:58:58+00:00,2,#VoiceOfNations,,5,0,Turkish scientists have come to the animal experiment phase to develop a vaccine against the COVID-19. #VoiceOfNations,,,,,,0.0,0.0,1.0,0.0
bbchealth,1259634045903912964,2020-05-10 23:58:54+00:00,14,,,13,2,Coronavirus anxiety: How to cope with life after lockdown ,,,,Coronavirus,Coronavirus,-0.1779,0.175,0.825,0.0
PaulLomax,1259633998306967557,2020-05-10 23:58:42+00:00,2,,,0,0,"And there aren’t many more indirect. You can clearly see this from excess deaths figures. They track Covid deaths, dropping as the effects of lockdown kick in. They do not rise with lockdown. Covid is now the biggest weekly killer here by some margin.",,,,,Covid Covid,-0.3818,0.08800000000000001,0.857,0.055
