username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
MariOlano,1236800663276924934,2020-03-08 23:47:11+00:00,1,#coronavirus,,1,0,"No es por asustarlos, pero el #coronavirus en Europa, esta en efecto domino, mezclado con efecto bola de nieve. No lo para nadie Dios nos proteja ",,,,,asustarlos pero el # coronavirus Europa esta efecto domino mezclado con efecto bola nieve lo nadie Dios nos,-0.5267,0.155,0.845,0.0
LTHlondon,1236799340548632576,2020-03-08 23:41:56+00:00,1,#coronavirus,,0,1,It seems to me like #coronavirus is just getting started,,,,,coronavirus,0.3612,0.0,0.7829999999999999,0.217
Paula_Griffin65,1236796047340560384,2020-03-08 23:28:50+00:00,0,#coronavirus,@BFI,0,0,I can just imagine the Prime Minstrel starring in a #coronavirus update of this classic public information film (Thanks @BFI),,,Minstrel,,Prime Minstrel # coronavirus,0.4404,0.0,0.868,0.132
mwadtv,1236795142612439040,2020-03-08 23:25:15+00:00,1,#coronavirus #COVID19 #nhs #costacoffee #mwad,,1,0, Shocking scenes as man is filmed coughing outrageously in Costa coffee claims to have the Coronavirus #coronavirus #COVID19 #nhs #costacoffee #mwad https://youtu.be/WdD6S0eIHt4,,nhs,,,Coronavirus COVID19 https://youtu.be/WdD6S0eIHt4,-0.5994,0.197,0.8029999999999999,0.0
dmmahony,1236792181849034752,2020-03-08 23:13:29+00:00,1,#coronavirus,@Telegraph,0,2,"This is ridiculous. You could be sitting next to a person who has #coronavirus on the aeroplane in one of the ‘optimum’ seats. @Telegraph you are cultivating irrational fear. Irrational fear leads to panic buying and ultimately the breakdown of society. Get rid of it, eh?",,,,,coronavirus,-0.9432,0.298,0.7020000000000001,0.0
Veronica_Foote_,1236790544308867074,2020-03-08 23:06:58+00:00,5,#Quarantine #stopcoronavirus #SelfIsolation #WorkFromHome #COVID19italia #covid19italy #COVID19 #coronavirus #covid19UK,,1,0,#Quarantine #stopcoronavirus #SelfIsolation #WorkFromHome #COVID19italia #covid19italy #COVID19 #coronavirus #covid19UK,,,,,# Quarantine SelfIsolation,0.0,0.0,1.0,0.0
Paula_Griffin65,1236787471016493056,2020-03-08 22:54:46+00:00,0,#Brexit #coronavirus,@BorisJohnson @I_W_M @BFI,0,0,Saved you a few quid here @BorisJohnson .. Considering the Blitz Spirit seems to be constantly evoked in the wake of #Brexit &amp; now #coronavirus perhaps this could be rerun... Just split my royalty cheque between @I_W_M &amp; @BFI ,,,,@I_W_M &amp,@BorisJohnson Blitz Spirit Brexit coronavirus @I_W_M amp @BFI,0.5423,0.0,0.892,0.108
UberTenebra,1236787353336905733,2020-03-08 22:54:18+00:00,3,#coronavirus,,0,1,My hometown in Italy is under the #coronavirus lockdown. I spent 10 days looking after my sick (not tested) eldest niece remotely and now reassuring my pregnant youngest that they’ll be ok. Not fun.,,,,,Italy coronavirus,-0.5109,0.151,0.7809999999999999,0.068
MariOlano,1236785928586362880,2020-03-08 22:48:38+00:00,0,#Coronavirus,,0,0,El Reino Unido ya con 273 casos de #Coronavirus Y Francia con miembros del gobierno también contagiados! Cerrarán las fronteras? ,,,Cerrarán las fronteras,,El Reino Unido # Coronavirus Y Francia del gobierno Cerrarán,0.0,0.0,1.0,0.0
MariOlano,1236783209104445440,2020-03-08 22:37:50+00:00,1,#coronavirus #Coronavid19,@LeShuttle,0,1,Then the possibility that @LeShuttle closes for easter grows fast! #coronavirus #Coronavid19 ,,,,,Coronavid19,0.0,0.0,1.0,0.0
justabigviolin,1236781169137668097,2020-03-08 22:29:43+00:00,8,#coronavirus,,2,2,I am thinking a lot about people with mental health issues surrounding health/contamination anxiety during the #coronavirus outbreak. Being told to wash our hands ‘as often as possible’ can be triggering if you struggle with or are recovering from OCD.,,,,OCD,coronavirus OCD,-0.4588,0.095,0.905,0.0
matilda_w_,1236780467145322497,2020-03-08 22:26:56+00:00,1,#Russia #Coronavirus #COVID19,,1,0,#Russia Confirms Four New #Coronavirus Cases #COVID19,,,Russia,,Russia Confirms Four New Coronavirus Cases,0.0,0.0,1.0,0.0
CareQualityComm,1236779277196107781,2020-03-08 22:22:12+00:00,21,#coronavirus #COVID19,,23,1,"YOU, yes you, can play a huge role in the fight against #coronavirus #COVID19 Follow this advice, and share it with friends and family. This helps you stay safe, and it helps you protect people that might be more vulnerable.",,,,,,0.9517,0.083,0.504,0.413
richie1984,1236775825753677830,2020-03-08 22:08:29+00:00,4,#stockpiling #coronavirus,,0,1,"This mass panic #stockpiling must have missed crouch end and Hornsey - plenty of toilet paper and hand sanitizer - although we had run out of quinoa, lobster and saffron #coronavirus",,,,,Hornsey saffron # coronavirus,-0.3182,0.15,0.763,0.087
LRT_TP,1236774875920044032,2020-03-08 22:04:43+00:00,0,#Coronavirus #COVID19 #UK,,0,0,Coronavirus: How many cases are in your local authority? https://news.sky.com/story/coronavirus-how-many-cases-are-in-your-local-authority-11953077 Brent: 3 Kensington &amp; Chelsea: 8 #Coronavirus #COVID19 #UK ,,,,,Coronavirus Brent Kensington Chelsea Coronavirus,0.0772,0.0,0.933,0.067
NsSuthakaran,1236771368533929986,2020-03-08 21:50:47+00:00,0,#chinese #wild #China #COVID19 #coronavirus #plastic #artificial,,0,0,I think the #chinese should learn a lesson not to eat #wild animals anymore. If they do then the world must disconnect from #China #COVID19 #coronavirus Also stop producing #plastic &amp; #artificial food.,,,,#plastic &amp,chinese China,-0.29600000000000004,0.064,0.936,0.0
nut_ge,1236769207905406979,2020-03-08 21:42:11+00:00,1,#coronavirus,,0,0,Come si fa a restare a casa se si è costretti ad andare a lavoro?#coronavirus,,,,,si è costretti lavoro?#coronavirus,0.0,0.0,1.0,0.0
