username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
rozina_atiq,1253836080249483265,2020-04-24 23:59:51+00:00,2,#coronavirus #lockdown #Ertugrul,,0,2,I think she is bored because of #coronavirus #lockdown and also can’t watch #Ertugrul for obvious reasons.,,,,Ertugrul,Ertugrul,-0.2732,0.116,0.884,0.0
CorkGourmetGuy,1253835577184727045,2020-04-24 23:57:51+00:00,1,#coronavirus,,0,1,"Nice bit of prime Friday night TV coverage for the party leader who by some distance has done the very least to help this country through #coronavirus In a time when grown ups need to make tough decisions, Mary Lou's standard approach of blaming rich people isn't much use. ",,,Mary Lou's,,Friday Mary Lou,0.8107,0.079,0.72,0.202
dibyeshanand,1253834913700368385,2020-04-24 23:55:13+00:00,4,#coronavirus #DonaldTrump #BLEACH #disinfectant,,0,0,"Phew!! I am protected from #coronavirus thanks to wise #DonaldTrump #BLEACH #disinfectant (Disclaimer - pls don’t inject yourself with these; if you do, hold Trump responsible)",,,,,coronavirus DonaldTrump # BLEACH Disclaimer Trump,0.9018,0.0,0.616,0.384
Mo_Ahad,1253834881056022529,2020-04-24 23:55:05+00:00,0,#Covid_19 #coronavirus #CoronavirusUS #CoronaVirusUpdate,,0,0,Yes people. This is reliable advice! #Covid_19 #coronavirus #CoronavirusUS #CoronaVirusUpdate,,,,,Covid_19 #,0.4574,0.0,0.7509999999999999,0.249
arbolioto,1253832939097542658,2020-04-24 23:47:22+00:00,0,#COVID19 #coronavirus,@UKLabour @Keir_Starmer,1,0,Why doesn’t ⁦@UKLabour⁩ leader⁦ @Keir_Starmer⁩ just grab this news and makes a run for it? What’s stopping him? What’s going on? Who’s looking after the people? Why isn’t there a govt of national unity so we all decide? Shambolic. #COVID19 #coronavirus ,,,,,⁦@UKLabour⁩ Shambolic,-0.3736,0.06,0.94,0.0
ChristineH_2017,1253832585458978817,2020-04-24 23:45:58+00:00,1,#coronavirus,,1,2,I can't believe the NRA is suing New York because gun shops were classed as non-essential businesses during the #coronavirus lockdown. ,,,,,NRA New York coronavirus,-0.5423,0.191,0.809,0.0
HMirghasemi,1253832379636080645,2020-04-24 23:45:09+00:00,1,#coronavirus #waltermorino #lockdown #futurism #SocialDistancing,,0,0,Walter Morino 1962 #coronavirus #waltermorino #lockdown #futurism #SocialDistancing,,,,SocialDistancing,Walter Morino,0.0,0.0,1.0,0.0
yo5h_a,1253832201420013568,2020-04-24 23:44:26+00:00,0,#innovation #disruption #beer #coronavirus,,0,0,Pint deivery service seems to be successful now #innovation #disruption #beer #coronavirus ,,,,,# # coronavirus,0.5994,0.14,0.503,0.358
notinmyname1994,1253832165122543616,2020-04-24 23:44:17+00:00,0,#Coronavirus,,0,0,"More deaths, more bereavements.Are we being culled,like badgers? ""Coronavirus: Cities around the world prepare to loosen restrictions despite concerns"" #Coronavirus ",,,Coronavirus,,Coronavirus Coronavirus,0.0,0.0,1.0,0.0
JThambyrajah,1253831984041861127,2020-04-24 23:43:34+00:00,0,#coronavirus,@CollignonPeter,0,0,"""Here it’s not a time for politics. This is a time for looking at the data and saying let’s do what makes the most sense.” @CollignonPeter #coronavirus Vanquish the Virus? Australia and New Zealand Aim to Show the Way ",,,,,Vanquish Australia New Zealand Aim,0.0,0.0,1.0,0.0
TWD_1988,1253831833487319044,2020-04-24 23:42:58+00:00,1,#COVID19 #coronavirus #scamdemic,,0,0,Did people actually expect insurers to pay anything? #COVID19 #coronavirus #scamdemic,,,,,,-0.1027,0.123,0.877,0.0
LondonComment,1253831690373431303,2020-04-24 23:42:24+00:00,1,#EU #Coronavirus,@pollymackenzie,0,0,"Question that always foxes lefties - would you feed your own kids first or the kids next door? #EU and Germany already turning their backs on their poorer southern member nations, mired in debt and the #Coronavirus threat and @pollymackenzie suggests that UK should help Germany?",,,,,EU Germany Coronavirus UK Germany,-0.7399,0.18600000000000005,0.764,0.05
ilangraphics,1253831187115790337,2020-04-24 23:40:24+00:00,3,#dettol #disinfectant #DisinfectantDonald #Trump #Covid_19 #injectdisenfectant #BLEACH #DisinfectantDonald #coronavirus #popart #design,,1,1,NEW DETTOL ART PIECE! Follow me for more! #dettol #disinfectant #DisinfectantDonald #Trump #Covid_19 #injectdisenfectant #BLEACH #DisinfectantDonald #coronavirus #popart #design,,,,,# # # DisinfectantDonald # Trump BLEACH # DisinfectantDonald #,0.0,0.0,1.0,0.0
ilangraphics,1253829840643469313,2020-04-24 23:35:03+00:00,5,#dettol #disinfectant #DisinfectantDonald #Trump #Covid_19 #injectdisenfectant #BLEACH #DisinfectantDonald #coronavirus #popart #design #dettol,@realDonaldTrump,1,2,KEEP OUT OF REACH OF PRESIDENTS! @realDonaldTrump #dettol #disinfectant #DisinfectantDonald #Trump #Covid_19 #injectdisenfectant #BLEACH #DisinfectantDonald #coronavirus #popart #design #dettol,,,,,KEEP # DisinfectantDonald # Trump BLEACH # DisinfectantDonald #,0.2789,0.0,0.894,0.106
ceefz30,1253828950117224455,2020-04-24 23:31:31+00:00,5,#Covid_19 #coronavirus,,0,1,This is one long irresponsible road for the UK #Covid_19 #coronavirus ,,,,,UK Covid_19,-0.4404,0.225,0.775,0.0
Pattybaby2020,1253828516778573825,2020-04-24 23:29:48+00:00,0,#coronavirus #Event201,,0,0,Let's rape him with his own vaccine! Straight up the shitter! #coronavirus #Event201,,,,,Event201,-0.6579999999999999,0.29100000000000004,0.605,0.104
caz_porter,1253828505365819392,2020-04-24 23:29:45+00:00,1,#Coronavirus #Brexit,,0,0,#Coronavirus and #Brexit: the connections and their consequences https://chrisgreybrexitblog.blogspot.com/2020/04/coronavirus-and-brexit.html?m=1&amp;fbclid=IwAR1Z4peOO3jYhVEn01ShTqt441GXsHN4EjV3x2kyItlyWC1a-BzdTbsRqrY,,,Brexit,,Coronavirus # Brexit,0.0,0.0,1.0,0.0
jj_talking,1253826850788270080,2020-04-24 23:23:10+00:00,0,#coronavirus,,0,0,Here's what amazes me. My Postal carrier has NOT contracted #coronavirus and he wears no Mask ,,,,,# coronavirus Mask,0.25,0.113,0.722,0.165
bj_accountant,1253826575545651203,2020-04-24 23:22:05+00:00,0,#Coronavirus #employers #selfemployed #loans #taxrelief #grants #business #support,,0,0,"#Coronavirus support is available to #employers and the #selfemployed in the http://UK.You may be eligible for #loans, #taxrelief and cash #grants. Use this #business support finder to see what #support is available for you and your business.",,,Coronavirus,,Coronavirus http://UK.You,0.8402,0.0,0.767,0.233
DonBiswascomedy,1253826071440523267,2020-04-24 23:20:05+00:00,2,#BillGates #BillGatesVaccine #CovidConspiracy #ConspiracyTheory #coronavirus,,0,0,"As a conspiracy theorist, I know Bill Gates isn't behind Covid_19, but he is behind Covid_ 95, Covid_ 98 and Covid_ XP. #BillGates #BillGatesVaccine #CovidConspiracy #ConspiracyTheory #coronavirus",,,,,Bill Gates Covid _ Covid _ Covid _ XP BillGates CovidConspiracy # ConspiracyTheory,-0.29600000000000004,0.078,0.922,0.0
snowleopardess,1253825626278113287,2020-04-24 23:18:18+00:00,0,#Brexit #coronavirus,,0,0,You are completely and utterly deranged. What do you think a hard #Brexit will do to the UK after the devastation that is being caused by #coronavirus? Or are you really too stupid to be able to work it out?,,,coronavirus,,Brexit UK coronavirus,-0.8041,0.182,0.818,0.0
OroroPro,1253825560137981952,2020-04-24 23:18:03+00:00,0,#pandemic #coronavirus #lockdown,,0,0,"Pandademic. Nah, that's just trying too hard. #pandemic #coronavirus #lockdown",,,,,#,-0.2023,0.259,0.741,0.0
snowleopardess,1253825252834054162,2020-04-24 23:16:49+00:00,1,#COVID19 #Brexit #coronavirus,@CatherineHoey,0,0,Just look at the utterly deranged @CatherineHoey. #COVID19 is apparently a mere excuse for the transition period to be extended. Hard #Brexit will utterly destroy the UK after the economic shock brought about by #coronavirus ,,,,,@CatherineHoey Brexit UK coronavirus,-0.7574,0.194,0.773,0.032
dzuidijk,1253825231447298056,2020-04-24 23:16:44+00:00,0,#Amazon #coronavirus,@mattmday,0,0,"#Amazon employees who have stayed away from work due to the #coronavirus pandemic have been told to report for scheduled shifts on May 1, or seek a leave of absence https://www.bloomberg.com/news/articles/2020-04-24/amazon-asks-workers-sheltering-at-home-to-return-or-seek-leave by @mattmday",,,,,Amazon coronavirus May https://www.bloomberg.com/news/articles/2020-04-24/amazon-asks-workers-sheltering-at-home-to-return-or-seek-leave,0.128,0.035,0.914,0.05
karimraffa,1253824550384500736,2020-04-24 23:14:02+00:00,0,#coronavirus,@climate @QuickTake,0,0,"Amid #coronavirus lockdowns around the globe, animals of all kinds are reclaiming their territory. See more via @climate: https://trib.al/OZJ1RM2 @QuickTake",,,,,,0.0,0.0,1.0,0.0
h24news_uk,1253824248038252544,2020-04-24 23:12:50+00:00,0,#News #Coronavirus #Health,,0,0,"Anyone eligible for the flu vaccine must take up the offer to prevent a devastating coronavirus surge during the winter months, it has been warned. #News #Coronavirus #Health",,,,,# News # Coronavirus # Health,-0.836,0.264,0.7040000000000001,0.032
mariathena,1253821869578485761,2020-04-24 23:03:23+00:00,0,#coronavirus,,0,1,"""If those numbers translate to the true incidence of #coronavirus, they would mean that more than 1.7 million people in New York City, and more than 2.6 million people statewide, have already been infected.They would also mean that the fatality rate the virus is relatively low",,,,,# coronavirus New York City,-0.5859,0.126,0.821,0.053
GeoffKates,1253821217724862464,2020-04-24 23:00:47+00:00,0,#coronavirusuk #coronavirus #Covid19UK,,0,0,Coronavirus detected on particles of air pollution https://www.theguardian.com/environment/2020/apr/24/coronavirus-detected-particles-air-pollution #coronavirusuk #coronavirus #Covid19UK,,,,,Coronavirus # coronavirusuk # coronavirus Covid19UK,0.0,0.0,1.0,0.0
