username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
mahdi,1234622923601780736,2020-03-02 23:33:37+00:00,5,#Nowruz #Nowruz #CoronaVirus,,1,0,London #Nowruz Bazaar is cancelled due to the fear of #CoronaVirus. ,,,CoronaVirus,,London Nowruz Bazaar CoronaVirus,-0.6369,0.366,0.634,0.0
THCVS,1234622152541900800,2020-03-02 23:30:33+00:00,5,#coronavirus,@sccoalition,4,0,Important briefing from @sccoalition on the #coronavirus – at The Green House,,,,,# Green House,0.2023,0.0,0.8590000000000001,0.141
CalumCurry,1234613827834171404,2020-03-02 22:57:29+00:00,3,#coronavirus,,0,0,"Washing your hands is the best way to protect yourself and others from the spread of germs, including coronavirus. You should wash your hands for the amount of time it takes to sing ""Happy Birthday"" twice. #coronavirus",,,,,coronavirus Happy coronavirus,0.8885,0.0,0.764,0.236
dr_simon,1234613584392572936,2020-03-02 22:56:31+00:00,2,#COVID19 #coronavirus,@trtworld,0,1,"I should probably smile more, particularly when so poorly lit. Talking, yes, #COVID19 #coronavirus with @trtworld https://m.youtube.com/watch?v=czSrB8Fil9I&amp;feature=youtu.be",,,,@trtworld https://m.youtube.com/watch?v=czSrB8Fil9I&amp;feature=youtu.be,COVID19 @trtworld https://m.youtube.com/watch?v=czSrB8Fil9I&amp;feature=youtu.be,0.6369,0.0,0.743,0.257
MikeEngland87,1234611159397019648,2020-03-02 22:46:53+00:00,0,#COVID_19 #coronavirus,,0,0,#COVID_19 #coronavirus ,,,,,COVID_19,0.0,0.0,1.0,0.0
LTHlondon,1234610612971483138,2020-03-02 22:44:42+00:00,8,#Coronavirus,@LBC,2,3,"Whatever emergency action plan the U.K. government is going to activate, we all know it won’t go far enough! #Coronavirus @LBC",,government,Coronavirus,,U.K. Coronavirus @LBC,-0.4389,0.126,0.8740000000000001,0.0
wadds,1234610171894226945,2020-03-02 22:42:57+00:00,6,#Newsnight #coronavirus #covid19,,1,8,“No spokesperson from the government was available to come on the programme tonight.” #Newsnight #coronavirus #covid19,,government,,,Newsnight,0.0,0.0,1.0,0.0
DawnNeesom,1234603187790917633,2020-03-02 22:15:12+00:00,18,#coronavirus,,3,4,Never felt more like a five year old. If one more patronising twat tells me to wash my hands while singing Happy Birthday/National Anthem... #coronavirus,,,,,Happy Birthday National Anthem,-0.5115,0.214,0.6729999999999999,0.113
Crypto_News_,1234589770833170433,2020-03-02 21:21:53+00:00,0,#CoronaVirus,,0,0,#CoronaVirus ,,,CoronaVirus,,# CoronaVirus,0.0,0.0,1.0,0.0
GThieuss,1234586531731574789,2020-03-02 21:09:01+00:00,15,#PROTETION #CORONAVIRUS,,1,0,"#PROTETION #CORONAVIRUS May ALLAH protect and bless the whole world against the CORONA VIRUS J’avais jeûné aujourd’hui et j’ai prié pour le monde entier! Depuis London, UK. ",,,,,CORONAVIRUS ALLAH CORONA VIRUS J’avais et j’ai monde entier Depuis London UK,0.69,0.0,0.815,0.185
oliverwjarvis,1234582508353806338,2020-03-02 20:53:02+00:00,0,#coronavirus,,0,1,oh wow.... ‘Plague Inc.’ top Paid Gaming App in App Store - wonder where the inspiration to download came from #coronavirus ,,,coronavirus,,Plague Inc. Gaming App App Store # coronavirus,0.8402,0.0,0.667,0.333
