username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
RenLaz17,1264707587863445505,2020-05-24 23:59:20+00:00,0,#BorisJohnson #DominicCummings #COVID19 #nhs #covid19uk #keepschoolsclosed #truthtwisters,,0,0,"Ignore Professor Pearson here. Advocating exactly the plan #BorisJohnson &amp; #DominicCummings have for us. Break lockdown for yourselves, go catch #COVID19 whilst their cheerleaders tell us there’s no risk. Absolute madness ##nhs #covid19uk #keepschoolsclosed #truthtwisters",,nhs,,,Ignore Professor Pearson # BorisJohnson DominicCummings # nhs # covid19uk,-0.3369,0.134,0.767,0.099
Ohemajosefine,1264707455432495108,2020-05-24 23:58:49+00:00,0,#hotgirlsummer #cancelled #summer2020cancelled #afronation #afronationportugalcancelled #Coronavirus #covid19 #theend #gossip #tea,,0,0,Literally!!! All the plans we had for 2020 and this is how you do us... ° #2020 #2021 #hotgirlsummer #cancelled #summer2020cancelled #afronation #afronationportugalcancelled #Coronavirus #covid19 #theend #gossip #tea… https://www.instagram.com/p/CAlqGEWFUen/?igshid=i6bvwb4w50v7,,,,,# Coronavirus #,-0.5538,0.145,0.855,0.0
fitgeek_uk,1264707371743485952,2020-05-24 23:58:29+00:00,0,,,0,0,Put your mask back on cos God’s got you Covid,,,,,cos God Covid,0.0,0.0,1.0,0.0
DrSCDonnelly,1264707281092063233,2020-05-24 23:58:07+00:00,16,,,2,4,On a lighter note.... in 2017 Asterix et la Transitaliqe (and the chariot race) came out. One of the chariot drivers in the race was called Coronavirus with his co pilot Bacillus. Will let you know how they get on ,,,,Coronavirus,Asterix et Transitaliqe Coronavirus,0.0,0.0,1.0,0.0
pchoskins,1264707273647144960,2020-05-24 23:58:05+00:00,0,,,0,1,"No, he didn’t, by any measure. He was in a Covid household. As such the rules were much stricter than for the rest of us. He ought not to have gone anywhere. It really is that simple. ",,,,,Covid,0.0,0.0,1.0,0.0
anishmohammed,1264707149940305928,2020-05-24 23:57:36+00:00,0,#COVID19,,0,0,Did Japan just beat the virus without lockdowns or mass testing? - The Economic Times #COVID19 ,,,,,Japan Economic Times,0.0,0.0,1.0,0.0
ageofthephage,1264707116578803713,2020-05-24 23:57:28+00:00,2,,@business,0,0,.China has one of the most comprehensive virus detection and testing regimes globally and yet is still struggling to contain its new cluster.The new cluster of infections in China shows signs the coronavirus could be changing https://www.bloomberg.com/news/articles/2020-05-20/china-sees-signs-new-cluster-carries-virus-longer-than-in-wuhan via @business,,,,,.China China https://www.bloomberg.com/news/articles/2020-05-20/china-sees-signs-new-cluster-carries-virus-longer-than-in-wuhan,-0.1298,0.067,0.879,0.054
passionbrothers,1264707010114838528,2020-05-24 23:57:02+00:00,3,,,1,0,Who wants to get together a squad and go BEAT THE SHIT out of COVID-19?,,,,,BEAT,0.6124,0.0,0.778,0.222
guardian,1264706987327135753,2020-05-24 23:56:57+00:00,93,,,30,18,Coronavirus live news: US bars travel from Brazil as British PM’s adviser reported to police over lockdown breach ,,,,,Coronavirus US Brazil British PM,0.0,0.0,1.0,0.0
emmajbradshaw,1264706931333181444,2020-05-24 23:56:44+00:00,1,#COVID19 #toiletpapergate,@JensenAckles,0,0,Turns out Supernatural knew #COVID19 was coming well before we did... @JensenAckles #toiletpapergate,,,,Supernatural,Supernatural,0.2732,0.0,0.851,0.149
