username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
UxbEconomist07,1259996609322070016,2020-05-11 23:59:35+00:00,0,#COVID19,,0,1,Angela Merkel stated it was 1.1 in a well circulated talk. Emily references it in the video! Prof suggests that’s nonsense as you can’t predict it to that level. #COVID19,,,,,Angela Merkel Prof,-0.2244,0.09,0.846,0.063
AgnesClackett,1259996515768184837,2020-05-11 23:59:13+00:00,1,,,0,0,"COVID19 CRISIS Officials Accuse Britain &amp; US of 'Hubris' &amp; 'Complacent Exceptionalism' in their Response to COVID19 Former WHO director blames ideology, years of austerity, downgrading of public health for UK’s failures in dealing with pandemic BylineTimes ",,,,BylineTimes,Officials Accuse Britain amp US Hubris amp Complacent Exceptionalism COVID19 UK BylineTimes,-0.9124,0.299,0.701,0.0
bbchealth,1259996373698711555,2020-05-11 23:58:39+00:00,12,,,9,1,Coronavirus doctor's diary: 'They say I have blood on my hands' ,,,,Coronavirus,Coronavirus,0.0,0.0,1.0,0.0
sebkraemer,1259995989827559424,2020-05-11 23:57:08+00:00,0,,,0,0,"""ACE2 is a receptor on the surface of cells which binds to the new coronavirus and allows it to enter and infect cells"" ",,,,,ACE2 coronavirus,0.0,0.0,1.0,0.0
Quamasparagi,1259995982521151491,2020-05-11 23:57:06+00:00,0,#COVID19,@GregClarkMP,0,0,.@GregClarkMP Please read this investigation into the conduct of the government and its advisers. #COVID19 ,,government,,,,0.3182,0.0,0.8590000000000001,0.141
VTimperleyBlog,1259995954658316288,2020-05-11 23:56:59+00:00,0,,,0,0,A LIFE LESS LIVED – COVID-19 ,,,,,,0.0,0.0,1.0,0.0
tylerdblack,1259995913336107013,2020-05-11 23:56:49+00:00,0,,,0,0,COVID-19 has revealed lots of things we all needed to know. Just like Brexit did. I don’t need to elaborate. Anyone with their finger in the pulse knows what I mean.,,,Brexit,,Brexit,0.3612,0.0,0.9229999999999999,0.077
drfnryan,1259995910634983425,2020-05-11 23:56:49+00:00,0,#covid #lockdown,,0,0,Echoes from USA #covid #lockdown,,,,,USA #,0.0,0.0,1.0,0.0
BBCTech,1259995694561136643,2020-05-11 23:55:57+00:00,7,,,0,0,Coronavirus: Musk defies orders to reopen Tesla's California plant ,,,,,Coronavirus Tesla California,0.0,0.0,1.0,0.0
BBCWorldBiz,1259995624071671809,2020-05-11 23:55:41+00:00,0,,,0,0,Coronavirus: Musk defies orders to reopen Tesla's California plant https://bbc.in/2yDRF0v,,,,,Coronavirus Tesla California https://bbc.in/2yDRF0v,0.0,0.0,1.0,0.0
AgnesClackett,1259995558342729728,2020-05-11 23:55:25+00:00,5,,,6,0,"The Coronavirus Crisis: Now is Exactly the Time for Global Comparisons. Paul Niland finds a pattern in the international responses to COVID-19, with populists who ignore the evidence having fared worst Byline Times ",,,,Byline Times,Coronavirus Crisis Time Global Comparisons Paul Niland Byline Times,-0.8934,0.263,0.737,0.0
SherifShew3611,1259995547311710208,2020-05-11 23:55:22+00:00,0,#COVID19,,0,0,How coronavirus affects life expectancy #COVID19 ,,,,,coronavirus,0.0,0.0,1.0,0.0
MarishaRayLD,1259995484095238146,2020-05-11 23:55:07+00:00,0,,@carolecadwalla,0,0,"@carolecadwalla if you haven't watched today's WHO press conference (Monday), please watch it. Link below. It changes understanding of the degree of threat posed by Covid19, it discusses safer workplaces, it explains well that herd immunity doesn't apply. ",,,,,Monday Covid19,0.4215,0.076,0.762,0.161
