username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
suhail1mirza,1260359097632907265,2020-05-12 23:59:59+00:00,0,#socialcare #COVID19,@RishiSunak @ukhca @CareEngland,0,0,"@RishiSunak (17 March)said “Now, more than any time in our recent history, we will be judged by our capacity for compassion” December 2009 support for the Finance sector: £955bn. Today £8bn needed to save #socialcare @ukhca @CareEngland Whither compassion? #COVID19 https://twitter.com/jonashworth/status/1260278088367308800",,,,Whither,December Finance £ £ Whither,0.836,0.0,0.81,0.19
AgnesClackett,1260359009867108359,2020-05-12 23:59:38+00:00,0,,,0,0,Coronavirus: L.A. County stay-at-home orders to last to July - Los Angeles Times ,,,,,Coronavirus L.A. County July Los Angeles Times,0.0,0.0,1.0,0.0
ShanksGurjar,1260358848147316736,2020-05-12 23:59:00+00:00,0,,,0,0,Truly innovative surgery! Inspiring during these COVID times...,,,,COVID,COVID,0.8356,0.0,0.36,0.64
aclresident,1260358797161357314,2020-05-12 23:58:48+00:00,7,#COVID19 #claddingscandal #EndOurCladdingScandal #leaseholdscandal,,6,0,The additional stress of #COVID19 on those stuck in the #claddingscandal being on lockdown in flammable buildings. Watch this clip of their personal stories #EndOurCladdingScandal #leaseholdscandal,,,,,,-0.5859,0.16699999999999998,0.833,0.0
anayaxposso,1260358789598982144,2020-05-12 23:58:46+00:00,88,,,40,1,"Salaam Walaykum, Inna lillahi wa inna ilaihi rajioon. Brother Muadh passed away due to the Covid-19 disease. Alhamdulilaah he passed away in the Month of Ramadan and we ask Allah to grant him Jannah and make his abode a place of peace. ",,,Jannah,,Salaam Walaykum Inna lillahi wa inna ilaihi Brother Muadh Covid-19 Month Ramadan Allah Jannah,0.7184,0.0,0.87,0.13
AgnesClackett,1260358745059733507,2020-05-12 23:58:35+00:00,0,,,0,0,Coronavirus pandemic could bring on extreme poverty worldwide - Los Angeles Times ,,,,Los Angeles Times,Coronavirus Los Angeles Times,-0.5563,0.246,0.754,0.0
gennarogualtie2,1260358689686421509,2020-05-12 23:58:22+00:00,2,,,2,0,World laughs at UK! UK takes a pasting from world's press over coronavirus crisis ,,,,,UK UK coronavirus,-0.2942,0.224,0.612,0.163
TricyrtisHirta,1260358642571735041,2020-05-12 23:58:11+00:00,7,,,0,1,"Death certificates have space for multiple causes of death. There is the primary one (i.e., kidney failure) and up to 24 contributing factors (whatever they'll call post-COVID-19 Syndrome)",,,,,,-0.9022,0.307,0.693,0.0
TamsinCorrigan,1260358612146425857,2020-05-12 23:58:04+00:00,2,,,0,1,"I didn’t realise safety measures are now enhanceable... Schools will never be 100% safe from any virus, and we all need to learn to cope with COVID, I agree. However listening to different inputs and considering options before making more mistakes is a necessity right now",,,,COVID,COVID,0.0261,0.099,0.8,0.101
InesElsaDalal,1260358607813644292,2020-05-12 23:58:03+00:00,11,#ThisSeparatedIsle #COVID19,@invisiblebrit,6,0,"Proud to be commissioned by @invisiblebrit to contribute a photographic portrait &amp; interview, to contextualise portrait sitter’s nuanced, lived experience, to photobook: #ThisSeparatedIsle! Pledge to support me &amp; all the others commissioned artists facing cancellations #COVID19 ",,,,,@invisiblebrit amp portrait sitter amp,0.7263,0.0,0.848,0.152
guardian,1260358575299403776,2020-05-12 23:57:55+00:00,122,,,65,14,Coronavirus live news: Brazil reports a record 881 deaths as Wuhan prepares to test 11m residents ,,,,,Coronavirus Brazil Wuhan,0.0,0.0,1.0,0.0
MeeraDas,1260358567326072837,2020-05-12 23:57:53+00:00,6,#COVID19 #KabulAttack,,0,1,"When the world is just about trying to cope with #COVID19 and then the #KabulAttack happens! Completely gut wrenching! Innocent civilians and little children shot &amp; some killed, so inhumane! My heart goes out to all those affected by these barbaric attacks.",,,KabulAttack,,KabulAttack amp,-0.8027,0.195,0.752,0.053
Barnesy19,1260358544857145346,2020-05-12 23:57:48+00:00,5,#COVID19 #Trump #BBC,@BBCNewsnight @realDonaldTrump @maitlis,2,0,"So @BBCNewsnight invited prolific anti-@realDonaldTrump Robert De Niro on to talk about the #COVID19 crisis in the US, not a health professional or an expert but a celebrity with a grudge. Plus he's interviewed by @maitlis who again is anti-#Trump. Tell me the #BBC isn't biased",,,,BBC,@BBCNewsnight Robert De Niro US @maitlis BBC,-0.0846,0.052000000000000005,0.902,0.046
AgnesClackett,1260358519192195072,2020-05-12 23:57:41+00:00,0,,,0,0,California coronavirus outlook worse than expected - Los Angeles Times ,,,,,California Los Angeles Times,-0.4767,0.256,0.7440000000000001,0.0
suhail1mirza,1260358343249612800,2020-05-12 23:57:00+00:00,0,#socialcare #COVID19,@RishiSunak @ukhca @CareEngland,0,0,"@RishiSunak (17 March)said “Now, more than any time in our recent history, we will be judged by our capacity for compassion” December 2009 support for the Finance sector: £955bn. Today £8bn needed to save #socialcare @ukhca @CareEngland Whither compassion? #COVID19 https://twitter.com/careengland/status/1260143945046253569",,,,Whither,December Finance £ £ Whither,0.836,0.0,0.81,0.19
richenergyceo,1260358256096092164,2020-05-12 23:56:39+00:00,0,#lockdown #covid19 #propaganda #ClimateChange #vaccines,@10DowningStreet,0,0,Rubbish Efficacy of #lockdown disputed &amp; the policy kills more than it cures. This #covid19 fiasco an avoidable agenda riven disgrace based on palpable lies from @10DowningStreet Pure #propaganda. Next we will see fallacious arguments on #ClimateChange &amp; #vaccines. A joke,,,,#ClimateChange &amp,Rubbish # amp Pure ClimateChange,-0.9493,0.361,0.599,0.04
suhail1mirza,1260358176089804800,2020-05-12 23:56:20+00:00,0,#socialcare #COVID19,@RishiSunak @ukhca @CareEngland,0,0,"@RishiSunak (17 March)said “Now, more than any time in our recent history, we will be judged by our capacity for compassion” December 2009 support for the Finance sector: £955bn. Today £8bn needed to save #socialcare @ukhca @CareEngland Whither compassion? #COVID19 https://twitter.com/davidj_brindle/status/1260180504231522307",,,,Whither,December Finance £ £ Whither,0.836,0.0,0.81,0.19
RockCodeAcademy,1260358105587687424,2020-05-12 23:56:03+00:00,0,,,0,0,"Interesting iconic building. Building must be worth more than £51,000 in value. Imagine running a small business within such building; don't qualify for small business grant because of the value of the property, despite business being affected by COVID19. Welcome to our world! ",,,,,COVID19,0.9279,0.0,0.684,0.316
djnev,1260358092140797952,2020-05-12 23:56:00+00:00,0,,,0,1,We don’t just have billions sat around waiting to pay for stuff like this otherwise everyone would moan that it’s not being spent on stuff like the NHS. All the money to pay for the coronavirus stuff comes from borrowing and it has to be paid back somehow.,,nhs,,,NHS coronavirus,0.3818,0.084,0.821,0.095
hashir,1260357997219450887,2020-05-12 23:55:37+00:00,0,,,0,0,"“COVID-19, however, has suddenly made everything terribly fair. Now no one can move. You’re all Sri Lankans now.” ",,,,,Sri Lankans,-0.5423,0.251,0.649,0.1
ruqaiya_h,1260357800598867968,2020-05-12 23:54:50+00:00,291,,,86,6,"For perspective, from 2000-2017, 126 people in the UK were killed by terrorism. The government threw millions at counter-terror projects, it dominated public discourse for years An estimated 40,000 people have died from covid in 2 months &amp; they are sending people back to work?",,government,,,UK covid,-0.9287,0.232,0.768,0.0
Astr0Isha,1260357790574526466,2020-05-12 23:54:48+00:00,5,,,0,0,I am doing everything but sell prints and presets during covid bc ya know what WE NEED TO TAKE A GOD DAMN BREAK AND TRY NEW AVENUES,,,,,covid bc GOD DAMN BREAK TRY NEW,-0.2263,0.139,0.7490000000000001,0.112
stefoftheshire,1260357632726044673,2020-05-12 23:54:10+00:00,4,,,0,0,me at my first post-covid restaurant meal ,,,,,,0.0,0.0,1.0,0.0
rpeh,1260357596550225921,2020-05-12 23:54:01+00:00,1,#BlackMirror #COVID19 #JohnsonPandemic,,0,0,I keep trying to understand.... but this #BlackMirror episode keeps happening. Rees-Smug wants to see how many MPs catch COVID-19 to set an example? Is that it? Or is he claiming that MPs are stronger somehow? #COVID19 #JohnsonPandemic,,,JohnsonPandemic,,# BlackMirror Rees Smug MPs JohnsonPandemic,0.6046,0.0,0.904,0.096
suhail1mirza,1260357545534914561,2020-05-12 23:53:49+00:00,1,#socialcare #COVID19,@RishiSunak @ukhca @CareEngland,0,0,"@RishiSunak (17 March)said “Now, more than any time in our recent history, we will be judged by our capacity for compassion” December 2009 support for the Finance sector: £955bn. Today £8bn needed to save #socialcare @ukhca @CareEngland Whither compassion? #COVID19 https://twitter.com/saralivadeas/status/1259031677675933696",,,,Whither,December Finance £ £ Whither,0.836,0.0,0.81,0.19
altaf422,1260357316899201030,2020-05-12 23:52:55+00:00,0,,,0,0,"PM Trudeau Provides Update on Federal Response to COVID-19 – May 12, 2020 ",,,,,PM Trudeau Federal Response May,0.0,0.0,1.0,0.0
TheSTMagazine,1260357294170214400,2020-05-12 23:52:49+00:00,1,,@alexgandolfi,1,0,"As Italy’s hospitals filled with coronavirus patients, photographer Alessandro Gandolfi documented the defiant continuity of life in the maternity wards https://www.thetimes.co.uk/article/coronavirus-extraordinary-pictures-from-italys-maternity-wards-hb7j6bwnj?utm_medium=Social&amp;utm_source=Twitter#Echobox=1589300752 @alexgandolfi",,,,,Italy coronavirus Alessandro Gandolfi https://www.thetimes.co.uk article coronavirus hb7j6bwnj?utm_medium,-0.2263,0.083,0.917,0.0
