username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
mehreenizaz,1244413652607930370,2020-03-29 23:58:29+00:00,0,#coronafun #coronavacy #coronanoschool #coronavirus,,0,0,#coronafun #coronavacy #coronanoschool #coronavirus just dawn upon me that there is no work/school as i hate early morning school runs &amp; wont lie i cud get used to this &amp; kinda lovin it. Lol as where i come from we hv 3 mnths sumer vacy so luks so does uk this time.Home partytime,,,,,coronavirus amp cud amp kinda hv sumer vacy luks uk,-0.5209,0.101,0.856,0.043
iHateMyMobile,1244413503341019137,2020-03-29 23:57:53+00:00,5,#coronavirus #Covid_19,,0,1,"Believe it or not, doing Nothing is harder than doing anything. #coronavirus #Covid_19",,,,,coronavirus Covid_19,0.0,0.0,1.0,0.0
markpink,1244413401884958723,2020-03-29 23:57:29+00:00,3,#coronavirus,@FT,0,0,When you drag the graph off the website it loses its background! However it retains all the references so it’s obvious it’s from the FT. The @FT #coronavirus charts are the best. Qudos to John for such a great job.,,,John,,FT @FT coronavirus Qudos John,0.75,0.086,0.738,0.17600000000000002
LTHlondon,1244413017720344577,2020-03-29 23:55:58+00:00,0,#Covid19 #Coronavirus,,0,3,Trump’s handling of this has been idiotic. #Covid19 #Coronavirus He better be careful it doesn’t get him booted in Nov... ,,,,,Trump Covid19 Coronavirus Nov,-0.0258,0.14300000000000002,0.677,0.179
AlmightyHam94,1244412955162226689,2020-03-29 23:55:43+00:00,0,#Quarantine #coronavirus,,0,0,You guys keep playing with Boris and London met #Quarantine #coronavirus ,johnson,,Quarantine,,Boris London # Quarantine,0.2023,0.0,0.847,0.153
PamarTalisman,1244412469206007808,2020-03-29 23:53:47+00:00,0,#coronavirus,@mhclg @RobertJenrick,0,0,"Top story: WATCH LIVE: Secretary of State for @mhclg @RobertJenrick hosts the #coronavirus press conference (29 March 2020) https://twitter.com/i/broadcasts/1PlKQmZlRLMKE, see more http://tweetedtimes.com/PamarTalisman?s=tnp",,,,,Secretary State coronavirus March https://twitter.com/i/broadcasts/1PlKQmZlRLMKE,0.2023,0.0,0.921,0.079
HrmQueene,1244412067903225856,2020-03-29 23:52:11+00:00,53,#coronavirus,,16,15,"They’re dropping like flies around here, Lucky for me #coronavirus can’t live in alcohol, My constant drunken state seems to be fighting it off! ",,,,,Lucky coronavirus,0.4753,0.086,0.722,0.192
PureSoulMusic,1244411768107081729,2020-03-29 23:51:00+00:00,2,#coronavirus #hydroxychloroquine #chloroquine #favipiravir,,1,0,Are these the solutions for #coronavirus? #hydroxychloroquine #chloroquine #favipiravir,,,,,# coronavirus #,0.1779,0.0,0.825,0.175
EuroVizyon,1244411612485898252,2020-03-29 23:50:23+00:00,1,#coronavirus,,0,0,"İngiltere, hayatın normale döneceği tarihi verdi!; https://bit.ly/39yCx0Q #coronavirus ",,,coronavirus,,İngiltere hayatın normale tarihi coronavirus,0.0,0.0,1.0,0.0
OlasKoolKitchen,1244411526984937472,2020-03-29 23:50:02+00:00,1,#coronavirus #Muckandthemires,@OlasKoolKitchen @MaxThreshold @NualaHonan @RanchoRelaxoBnd @dirtywaterrecs @itsjameshenryjr @Losttapes1 @summercampband @Aoife_N_Frances,1,0,@OlasKoolKitchen NOW on @MaxThreshold take your mind off #coronavirus blues and troubles with @NualaHonan @RanchoRelaxoBnd @dirtywaterrecs @itsjameshenryjr #Muckandthemires @Losttapes1 @summercampband &amp; @Aoife_N_Frances https://buff.ly/2qY2Vh8,,,,,@MaxThreshold @NualaHonan @RanchoRelaxoBnd Muckandthemires @summercampband amp @Aoife_N_Frances,-0.4588,0.12,0.88,0.0
Redbridge_MA,1244411269316333570,2020-03-29 23:49:01+00:00,1,#recovery #Coronavirus #covid19UK #GoodNews,,0,0,Here's a great news story about the #recovery of a 98 year old war hero from #Coronavirus https://www.nwemail.co.uk/news/18343052.wonderful-uk-news-98-year-old-war-hero-becomes-oldest-man-survive-coronavirus/ #covid19UK #GoodNews,,,,,# Coronavirus https://www.nwemail.co.uk uk news-98-year GoodNews,0.5859,0.136,0.594,0.269
RobbieSwale,1244411264941654016,2020-03-29 23:49:00+00:00,3,#ThePowerToChoose #coronavirus,,1,0,"My forthcoming book, #ThePowerToChoose is about how to thrive in an uncertain world. There have perhaps never been more uncertain times than these, so I have decided, amidst #coronavirus, to share part of that book. Here is the first part: You Can Choose ",,,,,# ThePowerToChoose coronavirus,0.2743,0.047,0.86,0.093
Elephantremoval,1244411210579300355,2020-03-29 23:48:47+00:00,0,#Covid_19 #StayAtHomeAndStaySafe #Coronavirus #COVID19 #COVID19italia #covid19italy #coronavirusupdate #coronavirusupdates #covid19fr #Covid19turkey #COVID19espana #covid19uk #covid19usa,,0,0,Just keep cleaning and get more help: https://elephantremovals.co.uk/moving-blogs/spring-cleaning-guide-sparkling-home Chat Online #Covid_19 #StayAtHomeAndStaySafe #Coronavirus #COVID19 #COVID19italia #covid19italy #coronavirusupdate #coronavirusupdates #covid19fr #Covid19turkey #COVID19espana #covid19uk #covid19usa,,,,,Online Coronavirus covid19fr covid19uk,0.4576,0.0,0.88,0.12
Future_Cities,1244410972325830657,2020-03-29 23:47:50+00:00,0,#coronavirus,,0,0,"Nice piece by Jacob Reynolds that re-examines Svetlana Alexievich’s book ""Chernobyl Prayer"" and HBO’s TV production ‘Chernobyl’ in the light of the #coronavirus. Worth a read. https://lnkd.in/gZtqzgf",,,,HBO,Jacob Reynolds Svetlana Alexievich Chernobyl Prayer HBO Chernobyl # Worth https://lnkd.in/gZtqzgf,0.5719,0.0,0.8420000000000001,0.158
PolycarpJ01,1244410637599608833,2020-03-29 23:46:30+00:00,0,#coronavirus,,0,0,"No where to close is there? These people are treated like London Slum Dwellers. They will not receive care in the #coronavirus debacle but will rather be left, then incinerated or buried in mass graves. NAMELESS/FACELESS. Reality throughout. ",,,,NAMELESS/FACELESS,London Slum Dwellers # coronavirus NAMELESS FACELESS,-0.5594,0.175,0.784,0.042
Prodbymondo,1244409930343383041,2020-03-29 23:43:42+00:00,1,#WhenCoronaVirusIsOver #BvS4Years #StayAtHomeAndStaySafe #coronavirus #arnews #nationalpunchlinesdatabase #AmericanVirus #5G #arnews #COVID19 #CoronaUpdate #AfterHours #AfterHours #AfterHours #AfterHours #COVID19,,0,0,#WhenCoronaVirusIsOver #BvS4Years #StayAtHomeAndStaySafe #coronavirus #arnews #nationalpunchlinesdatabase #AmericanVirus #5G #arnews #COVID19 #CoronaUpdate #AfterHours #AfterHours #COVID19,,,,,# AmericanVirus CoronaUpdate # AfterHours # AfterHours,0.0,0.0,1.0,0.0
Charmazin1,1244409698620706818,2020-03-29 23:42:46+00:00,0,#Carnival #SocialDistancinguk #coronavirus,,0,0,This year #Carnival 2020 is a write off.. Can't practice #SocialDistancinguk at carnival standing 2M apart #coronavirus,,,,,Carnival SocialDistancinguk M # coronavirus,0.0,0.0,1.0,0.0
AronSeeth,1244409604802478080,2020-03-29 23:42:24+00:00,1,#boycottasos #Asos #Covid_19 #coronavirus #StayAtHomeAndStaySafe,,0,1,"No Doubt that I love Shopping with Asos, but this is not the good time. Just close your depot until further notice or atleast for a month #boycottasos #Asos #Covid_19 #coronavirus #StayAtHomeAndStaySafe",,,Asos,,Asos # Asos,0.0119,0.086,0.8,0.115
SMEBanker,1244409559206244354,2020-03-29 23:42:13+00:00,0,#coronavirus #Europe,@netflix,0,0,Blame #coronavirus as @Netflix Drops Video Quality in #Europe,,,,,@Netflix Drops Video Quality Europe,-0.34,0.231,0.769,0.0
gorlachance,1244409312958701570,2020-03-29 23:41:14+00:00,1,#coronavirus,,0,0,"Mi scusi ma i paesi che non adottano l'euro, tipo USA, Giappone, Uk, Australia, insomma, IL RESTO DEL MONDO, come faranno ad affrontate il #coronavirus?",,,coronavirus,,Mi scusi ma paesi che non adottano l'euro tipo USA Giappone Uk Australia insomma IL DEL MONDO affrontate il # coronavirus,0.0,0.0,1.0,0.0
isaacrobbins_,1244409190828912642,2020-03-29 23:40:45+00:00,0,#JesusChrist #JesusSaves #Jesus #God #CoronaUpdate #coronavirus,,0,0,Don't believe everything you see and hear in this world you might think your talking to a human being... #JesusChrist #JesusSaves #Jesus #God #CoronaUpdate #coronavirus ,,,,,# JesusChrist # JesusSaves # Jesus # God # CoronaUpdate,0.2732,0.0,0.92,0.08
afshinrattansi,1244409186911490049,2020-03-29 23:40:44+00:00,75,#coronavirus,,40,9,"Say goodbye to this waste of money, UK Ministry of Defence? It appears to have little to do with national security. #coronavirus ",,,,UK Ministry of Defence,UK Ministry Defence coronavirus,-0.1154,0.125,0.7290000000000001,0.146
fahimhayat,1244408853015465990,2020-03-29 23:39:25+00:00,3,#coronavirus,,0,2,Last one. I didn’t have any symptoms before I fully knockout and couldn’t move from my bed. Not been tested as NHS doesn’t have the kit but spoke with 111 and a doctor over the phone and as all symptoms are Covid_19 so they are suspecting it as #coronavirus,,nhs,,,NHS,-0.3497,0.048,0.952,0.0
MariaGilroy,1244408433182420994,2020-03-29 23:37:45+00:00,0,#incompetent #coronavirus #NHS,,0,0,You promised this over a week ago!! No point in promising something is here when clearly it’s not! More Tory lies! #incompetent #coronavirus #NHS,,nhs,,,Tory NHS,0.7221,0.158,0.512,0.33
ImTigran,1244408249673289729,2020-03-29 23:37:01+00:00,0,#Covid_19 #coronavirus,,0,0,Am I the only one who often thinks about Alien first contact this year? #Covid_19 #coronavirus,,,,,Alien Covid_19,0.0,0.0,1.0,0.0
NicBoothby,1244407910958010368,2020-03-29 23:35:40+00:00,0,#Coronavirus,,0,0,Penny Mordaunt-Paymaster General said: 'Holding your breath for ten seconds is not a test for #Coronavirus and gargling water for 15 seconds is not a cure. This is the kind of false advice we have seen coming from sources claiming to be medical experts' ,,,,,Penny Mordaunt Paymaster General Coronavirus,0.0,0.0,1.0,0.0
KashBaig2,1244407753239658499,2020-03-29 23:35:03+00:00,0,#coronavirus,,0,0,#coronavirus is a full scam lol when you lot realise it I’ll be sat here laughing,,,coronavirus,,# coronavirus,0.3182,0.163,0.573,0.264
FrankumCaroline,1244407668296634369,2020-03-29 23:34:42+00:00,2,#StayAtHomeAndStaySafe #StayHomeSaveLives #Covid_19 #CoronaUpdate #coronavirus #Amazing #ClapForCarers,,0,0, #StayAtHomeAndStaySafe #StayHomeSaveLives #Covid_19 #CoronaUpdate #coronavirus #Amazing #ClapForCarers,,,,,CoronaUpdate,0.5859,0.0,0.612,0.388
PlatterOfGold,1244407583697444875,2020-03-29 23:34:22+00:00,0,#HealthyLiving #CoronaUpdate #COVID19 #Covid_19 #coronavirus #SafetyFirst #safetytips #survival,,0,0,3 Ways To Stay Safe and Survive CoronaVirus COVID-19... https://buff.ly/33V6whY #HealthyLiving #CoronaUpdate #COVID19 #Covid_19 #coronavirus #SafetyFirst #safetytips #survival,,,,,Survive CoronaVirus HealthyLiving # CoronaUpdate # SafetyFirst #,0.4404,0.0,0.8540000000000001,0.146
Aff4Fadi,1244407566639206402,2020-03-29 23:34:18+00:00,9,#CoronaVirus #Recovery #AskingForgivenessFromAllah,,4,1,"Today all the Muslims in UK will give azan at 8 pm. They all will step out of their houses, from windows or in yards to make a call in support of all the countries fighting for coronavirus and seek forgiveness from Allah #CoronaVirus #Recovery #AskingForgivenessFromAllah",,,,,Muslims UK azan coronavirus Allah # CoronaVirus # Recovery AskingForgivenessFromAllah,0.3182,0.05,0.855,0.095
DrBrianYL,1244407416327995394,2020-03-29 23:33:42+00:00,0,#coronavirus #lockdown,,0,0,Well at least Tesco is being honest about when I might get through. #coronavirus #lockdown,,,,Tesco,Tesco coronavirus #,0.6597,0.0,0.7070000000000001,0.293
Kyraofficial,1244407387315994628,2020-03-29 23:33:35+00:00,1,#coronavirus,,0,0,statistics on #coronavirus in the UK are soo inaccurate becuase we have barely been testing people. i have several friends who have DEFINITELY had the virus but weren’t tested and couldn’t even get through to 111 for it to be logged. STAY INNA YOUR YARD if you want to stay safe!!,,,,,UK soo DEFINITELY STAY INNA,0.8462,0.0,0.8220000000000001,0.17800000000000002
SikhMessenger,1244407126799384583,2020-03-29 23:32:33+00:00,0,#coronavirus #India,,2,0,"As of today, total of 1024 cases of COVID-19 have been reported throughout India. This is at odds with the 15,000 who ‘may have’ contracted it in the state of Punjab because of one person. Hence why we’ve described this as wild speculation. #coronavirus #India Bizarre.",,,,,India Punjab India Bizarre,-0.3182,0.049,0.951,0.0
CarmanDominic,1244407108776480769,2020-03-29 23:32:29+00:00,0,#coronavirus #COVID19,,0,0,Chilling to read and something no-one readily wants to accept as being possible... #coronavirus #COVID19,,,,,,0.3612,0.066,0.778,0.156
darkagenda,1244406945429303299,2020-03-29 23:31:50+00:00,0,#coronaupdate #Coronavirus #psyop #NWO,,0,0,#coronaupdate #Coronavirus #psyop #NWO,,,Coronavirus,,# Coronavirus NWO,0.0,0.0,1.0,0.0
MurtazaViews,1244406780400152576,2020-03-29 23:31:11+00:00,141,#nasirmadni #coronavirus,,40,10,Molana #nasirmadni to #coronavirus: don’t touch me corona ,,,,,Molana coronavirus,0.0,0.0,1.0,0.0
JJolion,1244406628692230147,2020-03-29 23:30:34+00:00,0,#coronavirus #coveryournose #contain #staysafe #CDC,,0,0,"You can bury me with my cringe clips: CDC task force! If you're gonna sneeze cover your nose , contain it don't spread it. #coronavirus #coveryournose #contain #staysafe #CDC",,,,,CDC coronavirus CDC,0.0,0.0,1.0,0.0
The_NewArab,1244406499339907081,2020-03-29 23:30:04+00:00,5,#coronavirus,,2,0,These Tunisians left their families in order to self-isolate at work and churn out vital face masks for healthcare workers battling the #coronavirus pandemic ,,,,,Tunisians coronavirus pandemic,0.0258,0.08,0.8370000000000001,0.084
NicoleDietitian,1244406387943366658,2020-03-29 23:29:37+00:00,0,#Coronavirus,@BBCDragonsDen,0,0,"Infuriating. Report them and shut this rubbish down now. Potentially dangerous in normal times. Totally indefensible in every way currently. @BBCDragonsDen totally rejected this, almost certainly recorded pre #Coronavirus. Drips should only ever be for hospital use.",,,Coronavirus,,# Coronavirus,-0.8396,0.223,0.73,0.047
ElapseHD,1244406097085161477,2020-03-29 23:28:28+00:00,1,#Covid_19 #CoronaUpdate #coronavirus,,0,1,What Are You Guys Doing During Lockdown? I am watching youtube and sleeping all day lol! #Covid_19 #CoronaUpdate #coronavirus,,,,,Lockdown CoronaUpdate,0.4753,0.0,0.853,0.147
