username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
LtdMed,1266519452478312449,2020-05-29 23:59:02+00:00,0,,,0,3,"Here is another case 110 years of age managed to get through Covid19 , therefore it doesn’t seem to be any logic behind, labelling Elderly as the biggest threat, while you know this is not the case ??? if you’ve got mental health problem with your own relatives and can’t ",,,,,Covid19 Elderly,-0.7677,0.122,0.878,0.0
safiah_durrah,1266519437311709184,2020-05-29 23:58:59+00:00,0,,,0,1,"“In a significant number of confirmed Covid cases, the health outcomes are severe, the disease can result in multiple organ failure and long-term lung damage, and the clinical need of patients for oxygen, ICU care and ventilators is much higher” ",,,,,Covid ICU,-0.5859,0.184,0.688,0.128
CanUjustFcknNot,1266519361793253376,2020-05-29 23:58:41+00:00,0,,,0,0,"in the video for 'violence' released september last year grimes and her crew are all wearing face masks, why is nobody asking if she did coronavirus ha",,,,,september coronavirus,-0.5719,0.188,0.738,0.074
Rob_Willmore,1266519315848757249,2020-05-29 23:58:30+00:00,7,,@WhippsCrossHosp @NHSBartsHealth @David_S_85,1,3,"1/ A week after being asked to write positive comments on staff wellbeing during COVID crisis, told that no longer will hotfood, indeed any food, be offered for purchase in canteen overnight. I feel like a fraud PR stunt for the trust @WhippsCrossHosp @NHSBartsHealth @David_S_85",,,,COVID,COVID @NHSBartsHealth,-0.1779,0.173,0.667,0.161
CeliaResearch,1266519245560692736,2020-05-29 23:58:13+00:00,0,#covid19,,0,0,"Wow, this is blistering of Boris's character, leadership and his cabinet #covid19 ",johnson,,Boris,,Boris,0.5859,0.0,0.743,0.257
vollauschek,1266519221653114885,2020-05-29 23:58:07+00:00,0,#glitchnews #talkingheads #breakingnews #glitch #portrait #glitchportrait #news #lockdown #quarantine #lockdownlondon #coronavirus #covid19 #c19 #c,,0,0,((•.) There is always time for a bit of UK Freeview on the good old spare TV with terrestrial antenna. #glitchnews #talkingheads #breakingnews #glitch #portrait #glitchportrait #news #lockdown #quarantine #lockdownlondon #coronavirus #covid19 #c19 #c… https://instagr.am/p/CAylxf7hhZ0/,,,,https://instagr.am/p/CAylxf7hhZ0/,UK Freeview coronavirus #,0.4404,0.0,0.921,0.079
BBCScienceNews,1266519073380278272,2020-05-29 23:57:32+00:00,13,,,3,1,Coronavirus: GPs not told when patients removed from 'shielding lists' ,,,,Coronavirus,Coronavirus,0.0,0.0,1.0,0.0
jogtweet,1266518821352943621,2020-05-29 23:56:32+00:00,1,,,0,0,UK coronavirus LIVE: Pubs with beer gardens 'to reopen first' as Boris Johnson told to 'massively' speed up test and trace ,johnson,,Boris Johnson,,UK coronavirus LIVE Boris Johnson,0.0,0.0,1.0,0.0
Rachelskiiiiiii,1266518816684736513,2020-05-29 23:56:31+00:00,14,,,0,5,Just met a real life “I don’t believe the coronavirus is real” person and I couldn’t even fathom a response. Had nothing to say. Completely stumped. I was just like ,,,,,coronavirus,0.3612,0.0,0.921,0.079
Daniel_Grigg,1266518625072173056,2020-05-29 23:55:45+00:00,0,#COVID19,@ProfKarolSikora @ProfKarolSikora,0,0,"@ProfKarolSikora, if he gave a toss about public safety; ""compare Britain's #COVID19 death rate to the rest of Europe"". @ProfKarolSikora, because he doesn't give a toss about causing more people to die; ""compare Britain's death rate to 3 weeks ago"".",,,,,@ProfKarolSikora Britain Europe @ProfKarolSikora Britain,-0.8797,0.236,0.709,0.055
gofilmit,1266518567165603846,2020-05-29 23:55:31+00:00,7,#COVID19 #iphonefilmmaking #mobilefilmmaking #filmicpro #lumatouch,,1,0,"A message from me about the project THE WORLD FALLS SILENT - 5 filmmakers, 5 films, 5 countries during #COVID19 http://gofilmit.tv/the-world-falls-silent #iphonefilmmaking #mobilefilmmaking #filmicpro #lumatouch",,,,,,0.0,0.0,1.0,0.0
jonnymarshall3,1266518370570158080,2020-05-29 23:54:44+00:00,1,#COVID,,0,0,"How much evidence from around the world must be seen before you will accept that there will not be a ""second wave"", because #COVID has followed a typical (albeit bad) flu season curve? All the evidence we have points towards the irrationality of continuing the lockdown.",,,,COVID,,-0.7351,0.165,0.787,0.049
Salty_tbh,1266518236415184896,2020-05-29 23:54:12+00:00,1,,,0,4,I'm sure the President of Madagascar's magical herbal tea is going to save us all from COVID19. Hurrah.,,,Hurrah,,President Madagascar COVID19 Hurrah,0.8442,0.0,0.622,0.378
bbchealth,1266517970999816192,2020-05-29 23:53:09+00:00,6,,,6,1,Coronavirus: GPs not told when patients removed from 'shielding lists' https://bbc.in/2yLvLZ3,,,,Coronavirus,Coronavirus,0.0,0.0,1.0,0.0
BBCNews,1266517970832023552,2020-05-29 23:53:09+00:00,61,,,20,12,Coronavirus: GPs not told when patients removed from 'shielding lists' https://bbc.in/2MaWcuv,,,,Coronavirus,Coronavirus,0.0,0.0,1.0,0.0
moyra_grant,1266517918872817665,2020-05-29 23:52:57+00:00,0,,,0,0,"BBC News - Coronavirus: Greece to open up in two weeks, but not to the UK ",,,,,BBC News Coronavirus Greece UK,0.0,0.0,1.0,0.0
astonsmith_says,1266517857959108609,2020-05-29 23:52:42+00:00,1,#coronavirus #JusticeForBellyMujinga #SayHerName,,1,0,"I am disgusted. At most being spat at by someone who says they have #coronavirus whilst doing your job is premeditated murder At the very least this is assault London Victoria stn is full of cameras, the proof is there. #JusticeForBellyMujinga #SayHerName",,,London Victoria,,coronavirus London Victoria stn,-0.9169,0.234,0.766,0.0
CllrJulian,1266517721082200064,2020-05-29 23:52:10+00:00,0,,,0,0,And this is exactly the sort of nonsense we want to leave behind. What does Greece know about Covid-19? They have hardly suffered any outbreak. ,,,,,Greece Covid-19,-0.7003,0.241,0.714,0.044
chandaclondon,1266517514172891137,2020-05-29 23:51:20+00:00,0,#BlackLivesMatter #BlackLivesMatter,,0,0,"Great to see many people out protesting in America. I wonder if the government thought that people would be afraid to protest because of the coronavirus, news flash they were wrong. No one is afraid of the corona. #BlackLivesMatter",,government,,,America coronavirus,-0.6124,0.21,0.705,0.085
LuxuryUkHotels,1266517290796879873,2020-05-29 23:50:27+00:00,0,,,0,0,"After coronavirus, unnecessary black cab journeys are a luxury that none of us can afford – The Independent ",,,,,coronavirus Independent,0.0,0.0,1.0,0.0
alexand96143951,1266517101130452999,2020-05-29 23:49:42+00:00,1,,,0,0,"Well, I was one of the beneficiary of your brilliant research . I had a brilliant day and I will donate 10% of my profits to Covid sufferers &amp; Red Cross ",,,,Red Cross,Covid Red Cross,0.9062,0.077,0.567,0.356
_rhizomes_,1266517088962613248,2020-05-29 23:49:39+00:00,3,,,3,0,"Pepperspray and tear gas have always been deadly, but now they are superspreader events. Some of the people protesting right now have covid-19 and some of the people who clean up that pepperspray will die from covid-19. Street medics will do their best but there's no safe way.",,,,,covid-19 covid-19,-0.4232,0.188,0.667,0.145
grahamguy,1266516954824794113,2020-05-29 23:49:07+00:00,1,#COVID19 #ControlTheFear,,0,1,It's not going to be the virus that stops us going back to normal... it will be fear. #COVID19 #ControlTheFear,,,,,,-0.5859,0.211,0.789,0.0
safiah_durrah,1266516725824184322,2020-05-29 23:48:12+00:00,0,,,0,0,"To those who feels invisible, confident they won’t catch Covid-19 or that they can recover from it like it’s just a flu. The takeaway line here is “many people suffering post-Covid recovery with health problems.” The impact is longer lasting than 14day quarantine ",,,,,Covid-19 14day,0.0,0.113,0.774,0.113
KJVBaptist193,1266516634690359298,2020-05-29 23:47:51+00:00,7,,,0,0,Sure he didn't die of Coronavirus? ,,,,Coronavirus,Coronavirus,0.6647,0.0,0.423,0.577
K_Anckarstrom,1266516441517432834,2020-05-29 23:47:05+00:00,0,,,0,0,Britain’s statistics watchdog is expected to warn Matt Hancock that it still has concerns about government figures for daily Covid-19 tests. ,,government,,,Britain Matt Hancock Covid-19,-0.1027,0.065,0.935,0.0
SkyNews,1266516345899962370,2020-05-29 23:46:42+00:00,52,#COVID19,,18,11,"A Nobel Prize-winning economist will be among the distinguished guests taking part in a special series on Sky News next week, looking at how the world might change following #COVID19 ",,,,,Nobel Prize Sky News,0.4019,0.0,0.915,0.085
psychicwhisper3,1266516259908333568,2020-05-29 23:46:21+00:00,0,,@YouTube,0,0,COVID-19 and Ontario's Ag-Gag Bill! https://youtu.be/OXNARbPyqMk via @YouTube,,,Ag-Gag,,COVID-19 Ontario Ag Gag Bill @YouTube,0.0,0.0,1.0,0.0
AishhBoom,1266516190924546048,2020-05-29 23:46:05+00:00,4,#covid #wtf #JusticeForBellyMujinga,,1,0,"She died after a man, who claimed to have #covid, spat at her. #wtf #JusticeForBellyMujinga",,,,,wtf,-0.8126,0.363,0.637,0.0
cktweeet,1266516108384796679,2020-05-29 23:45:45+00:00,0,,@SadiqKhan,0,1, Bring on the election ASAP! Shaun you will be busier than any other Ldn Mayor fixing the same @SadiqKhan has done to LDN under the cloud of COVID and lots of PR staff member redundancies... Stay Safe! LDN needs you!!,,,LDN,,Shaun Ldn Mayor @SadiqKhan LDN COVID PR LDN,0.6209,0.0,0.906,0.094
ahmetdouas,1266516068190863367,2020-05-29 23:45:36+00:00,0,,,0,0,Britain's double shame: coronavirus deaths and economic collapse | Simon Jenkins ,,,Simon Jenkins,,Britain coronavirus | Simon Jenkins,-0.743,0.412,0.588,0.0
PaulLomax,1266515989014904832,2020-05-29 23:45:17+00:00,0,,,0,1,Actuaries (mortality experts) have analysed ONS death data and found the average coronavirus victim had a life expectency of another ten years.,,,,,ONS coronavirus,-0.7184,0.231,0.769,0.0
Pacom4n,1266515977015083009,2020-05-29 23:45:14+00:00,0,,,0,0,If Coronavirus testing required a single swab of the asshole the government's creative counting strategy would be screw'd. In this scenario number 10 would have the countries highest number tested though. ,,government,,,Coronavirus,0.5423,0.0,0.836,0.164
FinTechZoom,1266515849814380549,2020-05-29 23:44:43+00:00,0,#Fintech #Blockchain #Crypto #Cryptocurrency #ICO,@FinTechZoom,0,0,"New article: ""Should you pay off student loans during COVID-19?"" has been published on Fintech Zoom - https://fintechzoom.com/fintech_news_loans/should-you-pay-off-student-loans-during-covid-19-2/ @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO",,,,,Fintech Zoom @FintechZoom Blockchain Crypto ICO,-0.1027,0.057,0.943,0.0
MaxWaltham,1266515807313551364,2020-05-29 23:44:33+00:00,0,#smackdown #smackdown #COVID19 #WWE #AEW #AEW #UFC #FIFA,,0,0,"As for #smackdown another pile of drivel not worth watching. Everyone in sport/entertainment/politics was tested through #COVID19. Not anyone has passed &amp; all failed, for once more ignorance to me. Next wave will be symptomless. #WWE #AEW #UFC #FIFA Back in circles to square 1.",,,,,amp WWE # AEW FIFA,-0.7756,0.156,0.844,0.0
heraldeyenews,1266515798283206657,2020-05-29 23:44:31+00:00,0,,,0,0,Coronavirus: Feds exploring how to reunite families separated by Canada-U.S. border shutdown ,,,,,Coronavirus Canada U.S.,0.0,0.0,1.0,0.0
SureshRukman,1266515797373042698,2020-05-29 23:44:31+00:00,0,#Education #health,,0,0,Help defeat COVID19 by becoming a health and safety rep. #Education #health via http://twinybots.ch,,,,,rep . # Education http://twinybots.ch,0.3612,0.154,0.564,0.282
sexydarasimii,1266515795552743425,2020-05-29 23:44:31+00:00,12,,,1,6,The only reason anyone from Europe or African should be awake this time is if your are joining me in prayer against covid 19..can I hear you say Amen...,,,,,Europe African,0.0,0.0,1.0,0.0
rsspenser,1266515744013144065,2020-05-29 23:44:18+00:00,1,#America #BlackLivesMatters #COVID,,0,1,2020 has been a horrible year for #America unless you’re rich #BlackLivesMatters #COVID,,,,COVID,# America,0.0258,0.193,0.608,0.199
snowflakenest,1266515635800064006,2020-05-29 23:43:52+00:00,3,,,0,0,Honestly my Mandarin teacher living in China had no idea how bad the Covid-19 is in UK and was really shocked. I think they're quite innocent about how bad the West has truly become these days.,,,,,Mandarin China Covid-19 UK West,-0.4939,0.239,0.587,0.174
