username,tweet_id,date,favorites,hashtags,mentions,retweets,replies,text,topical_persons,topical_orgs,persons,orgs,propn,compound,neg,neu,pos
chunkyboyjames,1263982951559200769,2020-05-22 23:59:53+00:00,0,,,0,0,"It must really eat you up inside that you have to support Trump. I mean the way he’s handled Covid-19 for starters, the random shit he says that’s total lies. How can you, in good faith, be happy with him as President.",,,Trump,,Trump Covid-19 President,0.6605,0.122,0.657,0.221
kidsgoape,1263982870500012033,2020-05-22 23:59:34+00:00,0,,,1,0,The Real Bare Facts about the Covid-19 Virus. Mst Watch. ,,,Mst Watch,,Real Bare Facts Covid-19 Mst Watch,0.0,0.0,1.0,0.0
LajnaBaitunNoor,1263982692443598848,2020-05-22 23:58:52+00:00,7,#Foodbanks #LoveForAllHatredForNone #ServingHumanity #COVID19,,2,0,"""The best of you are those who feed others."" - Holy Prophet Muhammad (pbuh) Ladies from Colliers Wood Jamaat came together to donate food to #Foodbanks and also gave a donation of £240.00. #LoveForAllHatredForNone #ServingHumanity #COVID19 ",,,,,Holy Prophet Muhammad Colliers Wood Jamaat LoveForAllHatredForNone #,0.6369,0.0,0.893,0.107
BBCNews,1263982602790285312,2020-05-22 23:58:30+00:00,133,,,43,64,Officers 'wary' as spit attacks rise in coronavirus pandemic ,,,,,coronavirus pandemic,-0.4404,0.266,0.734,0.0
IranIntl_En,1263982442756571136,2020-05-22 23:57:52+00:00,1,#Mazandaran #coronavirus,,0,0,"Dean of the Medical Science University of #Mazandaran: Almost all the cities of Mazandaran province are in the #coronavirus red zone. If health protocols are not followed, the province will get much worse.",,,,,Medical Science University Mazandaran coronavirus,-0.4767,0.088,0.912,0.0
Musiclawadvice,1263982437882908674,2020-05-22 23:57:51+00:00,2,,,1,0,‘Spotify's tip jar is offensive to artists and consumers’: stars on pop’s future after coronavirus ,,,,,Spotify coronavirus,-0.4588,0.176,0.824,0.0
francesmcf,1263982262967820289,2020-05-22 23:57:09+00:00,2,,,0,0,He travelled whilst having Covid and handed a possibly infected child over to parents in the at risk group. Ferguson had recovered and therefore likely had immunity.,,,Ferguson,,Covid Ferguson,-0.6486,0.175,0.825,0.0
VTimperleyBlog,1263982259859861512,2020-05-22 23:57:09+00:00,0,,,0,0,A LIFE LESS LIVED – COVID-19 ,,,,,,0.0,0.0,1.0,0.0
cupboardgallery,1263982188695085057,2020-05-22 23:56:52+00:00,0,,,0,0,"They all had COVID at approx the same time? time to go home to family ?I know it is contagious but all of them .chief medics, public health politicians and sage . Boris unfortunately came of worse and if you were looking in you might suggest unexpectedly - but the timing ?",johnson,,Boris,,COVID Boris,-0.8587,0.162,0.838,0.0
MetCC,1263982184857288706,2020-05-22 23:56:51+00:00,0,,,0,0,"Good evening Samantha, you can report a COVID-19 breach using the following link - https://www.met.police.uk/tua/tell-us-about/c19/tell-us-about-possible-breach-coronavirus-measures/. Alternatively, you can DM. Thanks.",,,Samantha,,Samantha tua us about c19 coronavirus measures/.,0.7003,0.0,0.756,0.244
